character_name,character_date_create,character_create_type_name,character_class_name,character_nation_name,character_gender,character_exp,character_level,server_name,job
포맨,2015-10-18T02:20:37.25Z,캐릭터_일반,전사,부여,M,2.6642123164765604e+18,899,연,전사
신이내린한분,2008-09-03T10:04:19Z,캐릭터_일반,전사,고구려,M,8588192448074138.0,899,연,전사
바리스타,2016-01-17T00:50:13Z,캐릭터_일반,전사,부여,M,7.269350553065193e+17,899,연,전사
호불팔,2017-04-10T13:14:06Z,캐릭터_일반,전사,고구려,F,6.066964041577893e+17,899,연,전사
조루,2022-12-21T14:05:28.25Z,캐릭터_일반,전사,부여,M,1.73457590157024e+18,899,연,전사
룬비연,2023-03-03T05:43:32.125Z,캐릭터_일반,전사,부여,F,1.2238811309563914e+18,899,연,전사
유하,2021-02-05T18:14:42.5Z,캐릭터_일반,전사,부여,M,5.999974960023136e+17,899,연,전사
비화,2012-05-22T14:12:21.375Z,캐릭터_일반,전사,부여,M,1.5512129545363487e+18,899,연,전사
사탕,2019-07-25T14:26:03.375Z,캐릭터_일반,전사,고구려,M,1.50691974736986e+16,899,연,전사
사계절,2022-07-24T10:14:58.875Z,캐릭터_일반,전사,부여,M,1.247409925309644e+18,899,연,전사
긴체,2022-09-20T12:53:05.125Z,캐릭터_일반,도적,고구려,M,3.4556683059629184e+17,899,연,도적
식객,2009-07-05T03:29:11.375Z,캐릭터_일반,도적,고구려,M,1617765165271734.0,899,연,도적
악동최민혁,2019-03-30T13:15:55.875Z,캐릭터_일반,도적,부여,M,6.300008855826901e+16,899,연,도적
군주,2009-07-23T15:13:03Z,캐릭터_일반,도적,고구려,M,1.9354999184146364e+16,899,연,도적
신검,2018-01-03T10:12:35.25Z,캐릭터_일반,도적,부여,M,5.6082348185091494e+17,899,연,도적
비책,2005-07-23T04:39:44Z,캐릭터_일반,도적,고구려,M,9.650015727264646e+16,899,연,도적
르결,2016-12-10T00:46:07.375Z,캐릭터_일반,도적,고구려,F,3.587938593240197e+17,899,연,도적
패브,2000-12-21T11:53:55Z,캐릭터_일반,도적,고구려,M,2.167847093384125e+16,899,연,도적
풍예랑,2003-04-21T00:51:03Z,캐릭터_일반,도적,고구려,M,547578155389354.0,899,연,도적
험무리,2018-03-13T11:03:37.75Z,캐릭터_일반,도적,부여,M,1732708971993924.0,899,연,도적
여래,2015-04-10T07:20:41.125Z,캐릭터_일반,주술사,고구려,F,6.500979781363164e+17,899,연,주술사
특명접수,2019-08-19T09:03:13Z,캐릭터_일반,주술사,부여,M,7.573236912766244e+17,899,연,주술사
라임초,2009-11-26T09:22:57Z,캐릭터_일반,주술사,고구려,M,8.868263542492813e+17,899,연,주술사
대설령,2023-01-11T11:39:08.375Z,캐릭터_일반,주술사,부여,M,2470519716726211.0,899,연,주술사
장미,2022-11-16T12:29:21.875Z,캐릭터_일반,주술사,고구려,M,1.239777718204547e+18,899,연,주술사
바태식,2023-11-20T10:20:38.375Z,캐릭터_일반,주술사,고구려,M,1.563026292417442e+17,899,연,주술사
한방,2001-04-04T08:57:22Z,캐릭터_일반,주술사,부여,F,3183754422481883.0,899,연,주술사
슈퍼타워,2015-12-18T11:15:04.375Z,캐릭터_일반,주술사,고구려,M,1.953317338640925e+16,899,연,주술사
타코,2022-11-27T13:45:53.625Z,캐릭터_일반,주술사,부여,M,2.8823102244749388e+16,899,연,주술사
토끼당,2012-12-20T12:15:05.625Z,캐릭터_일반,주술사,고구려,M,2.201745094373392e+16,899,연,주술사
정령,2013-07-20T04:53:03Z,캐릭터_일반,도사,부여,M,6.304083406096577e+17,899,연,도사
냠심,2019-08-24T08:58:43.75Z,캐릭터_일반,도사,고구려,F,5.983710965054668e+16,899,연,도사
그븐,2018-06-11T02:40:57.5Z,캐릭터_일반,도사,부여,M,381681491172393.0,899,연,도사
율시,2006-11-21T09:05:29Z,캐릭터_일반,도사,고구려,M,613993546685429.0,899,연,도사
미초바,2005-03-09T12:10:27Z,캐릭터_일반,도사,부여,F,7.130130501651112e+17,899,연,도사
주황색,2008-11-07T10:06:52Z,캐릭터_일반,도사,부여,M,6.170604627809644e+17,899,연,도사
휴린,2021-05-08T13:03:38.625Z,캐릭터_일반,도사,고구려,F,1.4712315376209302e+17,899,연,도사
상담,2004-09-28T18:03:35Z,캐릭터_일반,도사,부여,M,2.66058282674456e+18,899,연,도사
우웅,2019-09-29T00:04:22.125Z,캐릭터_일반,도사,부여,M,1.0461281733976726e+18,899,연,도사
귀문킬러,2006-10-04T13:26:06Z,캐릭터_일반,도사,부여,M,4.607313145683026e+16,899,연,도사
정리,2024-05-19T13:04:17.625Z,캐릭터_일반,궁사,부여,M,3.073897863838176e+17,899,연,궁사
빈지노,2015-02-02T10:11:20.375Z,캐릭터_일반,궁사,부여,M,1.0530000751901594e+18,899,연,궁사
김망붕,2009-05-28T21:07:52.5Z,캐릭터_일반,궁사,부여,M,1.0502944279204048e+16,899,연,궁사
설마,2012-04-27T16:12:22.75Z,캐릭터_일반,궁사,고구려,M,2.2289211499918964e+16,899,연,궁사
세련,2017-12-27T10:38:00.625Z,캐릭터_일반,궁사,부여,F,2.3215704970889264e+17,899,연,궁사
연우,2020-01-07T11:15:38.875Z,캐릭터_일반,궁사,고구려,M,5.0639263493539896e+16,899,연,궁사
마크,2023-08-05T06:00:17.875Z,캐릭터_일반,궁사,부여,M,332362338559720.0,899,연,궁사
착송,2022-12-23T17:09:12.875Z,캐릭터_일반,궁사,고구려,M,3.536263615752767e+16,899,연,궁사
비화이,2022-12-21T16:22:13.875Z,캐릭터_일반,궁사,고구려,M,4.875231356480356e+17,899,연,궁사
쏜당,2023-02-11T13:25:50.125Z,캐릭터_일반,궁사,부여,M,2.5495493631771e+16,899,연,궁사
반지,2003-01-31T20:07:26Z,캐릭터_일반,주술사,고구려,M,4294967295.0,99,연,천인
광휘,2008-09-13T12:56:58Z,캐릭터_일반,도적,고구려,F,228499966624.0,532,연,천인
검귀,2024-06-10T05:03:05Z,캐릭터_일반,천인,부여,M,2.6953086137569574e+17,858,연,천인
이번,2013-12-22T00:30:12.5Z,캐릭터_일반,주술사,고구려,M,34267554675802.0,740,연,천인
괴물,,캐릭터_일반,천인,고구려,M,286902033.0,630,연,천인
느좋,2024-10-03T16:32:38.61Z,캐릭터_일반,도사,,M,,1,연,마도사
시시,,캐릭터_일반,도사,고구려,F,4544890733.0,544,연,마도사
서비,,캐릭터_일반,전사,고구려,M,80282595.0,510,연,마도사
나연,2017-04-21T23:52:02.625Z,캐릭터_일반,주술사,고구려,M,1.0214317953816547e+17,899,연,마도사
호랑,2006-07-24T16:27:36Z,캐릭터_일반,궁사,고구려,M,1.1794241808533573e+18,898,연,영술사
연합,2025-01-27T05:48:43.625Z,캐릭터_일반,차사,고구려,M,4.140429190284748e+17,810,연,차사
비룡,2024-07-11T04:46:06.5Z,캐릭터_일반,차사,고구려,M,9.054625371702357e+16,856,연,차사
척곤,2020-05-31T12:57:37.375Z,캐릭터_일반,전사,고구려,M,1.5708578173493665e+18,899,무휼,전사
성심,2007-11-24T23:46:06Z,캐릭터_일반,전사,고구려,M,4.698510347831044e+17,899,무휼,전사
묻더,2009-11-16T02:42:53Z,캐릭터_일반,전사,고구려,M,3.112984606480919e+17,899,무휼,전사
