item_equipment_slot_name,item_id,ocid
무기,용마제십검,d3c2bda905bda4fcdbf9a3b30972a233
갑옷,패자황금갑주,d3c2bda905bda4fcdbf9a3b30972a233
방패/보조무기,고대마령의단검9성,d3c2bda905bda4fcdbf9a3b30972a233
투구,고대마령투구10성,d3c2bda905bda4fcdbf9a3b30972a233
왼손,패자황금장갑,d3c2bda905bda4fcdbf9a3b30972a233
오른손,패자황금장갑,d3c2bda905bda4fcdbf9a3b30972a233
보조1,마사의귀목,d3c2bda905bda4fcdbf9a3b30972a233
보조2,마사의귀목,d3c2bda905bda4fcdbf9a3b30972a233
얼굴장식,빛나는조사장의가면,d3c2bda905bda4fcdbf9a3b30972a233
캐시 투구,달빛마중머리띠,d3c2bda905bda4fcdbf9a3b30972a233
망토,용성장견'마8성,d3c2bda905bda4fcdbf9a3b30972a233
캐시 겉옷,달빛마중수묵도포,d3c2bda905bda4fcdbf9a3b30972a233
신발,빛나는사령웅의앞발,d3c2bda905bda4fcdbf9a3b30972a233
목/어깨장식,고대마령의목걸이8성,d3c2bda905bda4fcdbf9a3b30972a233
캐시 무기,달빛마중장우산,d3c2bda905bda4fcdbf9a3b30972a233
캐시 방패/보조무기,,d3c2bda905bda4fcdbf9a3b30972a233
캐시 얼굴장식,,d3c2bda905bda4fcdbf9a3b30972a233
캐시 망토,달빛마중토끼가방,d3c2bda905bda4fcdbf9a3b30972a233
캐시 신발,달빛마중산군,d3c2bda905bda4fcdbf9a3b30972a233
캐시 목/어깨장식,사파이어하트목걸이,d3c2bda905bda4fcdbf9a3b30972a233
세트옷,[괴수의상]아그니4성,d3c2bda905bda4fcdbf9a3b30972a233
캐시 세트옷,바람미니미도사,d3c2bda905bda4fcdbf9a3b30972a233
장신구,파란나비노리개4성,d3c2bda905bda4fcdbf9a3b30972a233
캐시 장신구,달빛마중깡총귀,d3c2bda905bda4fcdbf9a3b30972a233
무기,용마제십검,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
갑옷,태광천신의복8성,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
방패/보조무기,고대마령의단검6성,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
투구,태광천신금잠7성,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
왼손,[상급]봉래산반지,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
오른손,[상급]봉래산반지,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
보조1,마사의귀목,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
보조2,마사의귀목,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
얼굴장식,조사장의가면,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 투구,,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
망토,용성장견'마8성,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 겉옷,바람정장,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
신발,사령웅의앞발,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
목/어깨장식,단조의심단,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 무기,신월협객영매검,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 방패/보조무기,웨딩비둘기,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 얼굴장식,,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 망토,벚꽃장식No02,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 신발,바람정장구두,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 목/어깨장식,웨딩부토니에,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
세트옷,뀨뀨,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 세트옷,[구]망또No02,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
장신구,붉은토끼풀노리개2성,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 장신구,,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
무기,용마제십검,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
갑옷,태광천신의복8성,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
방패/보조무기,고대마령의단검7성,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
투구,태광천신금잠8성,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
왼손,태염반지8성,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
오른손,태염반지8성,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
보조1,마사의귀목,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
보조2,마사의귀목,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
