character_name,server_name,job,ocid
포맨,연,전사,d3c2bda905bda4fcdbf9a3b30972a233
신이내린한분,연,전사,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
바리스타,연,전사,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
호불팔,연,전사,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
조루,연,전사,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
룬비연,연,전사,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
유하,연,전사,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
비화,연,전사,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
사탕,연,전사,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
사계절,연,전사,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
긴체,연,도적,c6e31a4fb353165809d32816bd18e5f0454174e45430f1270b6bf34c891e7d56
식객,연,도적,0d6ad201ad1c0b73236bbf5d5814b154
악동최민혁,연,도적,b66e10bada47383dcb4d909ff8aef3b286e68d4012202d0434d05f81868f68e3
군주,연,도적,e98fccecd9068b0fd8505cae509d608befe8d04e6d233bd35cf2fabdeb93fb0d
신검,연,도적,dc56152637609b744af81330e05f0d8cc47ea5ffea2564f587ca830a8f71acb2
비책,연,도적,50aa8185ce4e9004077e76ee0f2f947aefe8d04e6d233bd35cf2fabdeb93fb0d
르결,연,도적,8216912a829e5ba2f1d412cd2a92a5c2c47ea5ffea2564f587ca830a8f71acb2
패브,연,도적,846a3f4677004db866d24d5447568a29efe8d04e6d233bd35cf2fabdeb93fb0d
풍예랑,연,도적,3d3bd1b7d1e0a8f7e307ed50dce79a12
험무리,연,도적,e1958038f34326bf02bcab521c8b59a686e68d4012202d0434d05f81868f68e3
여래,연,주술사,2bc62c887d0d5d4306cbc21dc08e9a93efe8d04e6d233bd35cf2fabdeb93fb0d
특명접수,연,주술사,62b486cd347b3144f2298332f5962fe7fd842dab14be2a956555625b37c97bff
라임초,연,주술사,5fbeea0561bfcdcb83b967748ac7965aefe8d04e6d233bd35cf2fabdeb93fb0d
대설령,연,주술사,7a530f90bc3a48e7be9db3a5a3e2b87e2da93d5c29221676a4f60204ae56aeef
장미,연,주술사,61a17fb11453a0f2d27fc8ee91bdc0ca05ba2700bb342426ae6b1920c32d3e85
바태식,연,주술사,91634323686dd9109f49eb7209b4191d1ef93588062ec11a1c7cd54f458134fa
한방,연,주술사,f936e53832955f750ed3ed95ffe446fcefe8d04e6d233bd35cf2fabdeb93fb0d
