character_name,character_date_create,character_create_type_name,character_class_name,character_nation_name,character_gender,character_exp,character_level,server_name,job,ocid,힘,지력,지혜,건강,민첩,체력치,마력치
포맨,2015-10-18T02:20:37.25Z,캐릭터_일반,전사,부여,M,2.6642123164765604e+18,899,연,전사,d3c2bda905bda4fcdbf9a3b30972a233,1348,497,387,565,720,22731261,4746820
신이내린한분,2008-09-03T10:04:19Z,캐릭터_일반,전사,고구려,M,8588192448074138.0,899,연,전사,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d,1228,614,430,523,709,21260856,4957741
바리스타,2016-01-17T00:50:13Z,캐릭터_일반,전사,부여,M,7.269350553065193e+17,899,연,전사,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d,1034,365,334,508,535,15987582,3507709
호불팔,2017-04-10T13:14:06Z,캐릭터_일반,전사,고구려,F,6.066964041577893e+17,899,연,전사,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3,1360,568,361,537,725,23877053,4945237
조루,2022-12-21T14:05:28.25Z,캐릭터_일반,전사,부여,M,1.73457590157024e+18,899,연,전사,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa,1308,540,371,564,736,28838774,6788312
룬비연,2023-03-03T05:43:32.125Z,캐릭터_일반,전사,부여,F,1.2238811309563914e+18,899,연,전사,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6,1365,636,425,563,755,24465265,5175968
유하,2021-02-05T18:14:42.5Z,캐릭터_일반,전사,부여,M,5.999974960023136e+17,899,연,전사,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4,1308,488,401,522,710,22149204,4445460
비화,2012-05-22T14:12:21.375Z,캐릭터_일반,전사,부여,M,1.5512129545363487e+18,899,연,전사,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d,1217,494,365,499,672,21849359,4733351
사탕,2019-07-25T14:26:03.375Z,캐릭터_일반,전사,고구려,M,1.50691974736986e+16,899,연,전사,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d,1383,537,378,583,756,26872604,6202106
사계절,2022-07-24T10:14:58.875Z,캐릭터_일반,전사,부여,M,1.247409925309644e+18,899,연,전사,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765,1334,497,366,560,666,22901628,4652479
긴체,2022-09-20T12:53:05.125Z,캐릭터_일반,도적,고구려,M,3.4556683059629184e+17,899,연,도적,c6e31a4fb353165809d32816bd18e5f0454174e45430f1270b6bf34c891e7d56,689,486,347,520,1253,25817607,5934950
식객,2009-07-05T03:29:11.375Z,캐릭터_일반,도적,고구려,M,1617765165271734.0,899,연,도적,0d6ad201ad1c0b73236bbf5d5814b154,693,481,346,508,1232,22407166,5224683
악동최민혁,2019-03-30T13:15:55.875Z,캐릭터_일반,도적,부여,M,6.300008855826901e+16,899,연,도적,b66e10bada47383dcb4d909ff8aef3b286e68d4012202d0434d05f81868f68e3,808,541,373,527,1261,26730607,6108672
군주,2009-07-23T15:13:03Z,캐릭터_일반,도적,고구려,M,1.9354999184146364e+16,899,연,도적,e98fccecd9068b0fd8505cae509d608befe8d04e6d233bd35cf2fabdeb93fb0d,642,462,341,502,1233,21287699,5061356
신검,2018-01-03T10:12:35.25Z,캐릭터_일반,도적,부여,M,5.608234818509149e+17,899,연,도적,dc56152637609b744af81330e05f0d8cc47ea5ffea2564f587ca830a8f71acb2,704,496,352,510,1323,22369944,5205152
비책,2005-07-23T04:39:44Z,캐릭터_일반,도적,고구려,M,9.650015727264646e+16,899,연,도적,50aa8185ce4e9004077e76ee0f2f947aefe8d04e6d233bd35cf2fabdeb93fb0d,627,462,336,506,1122,17869818,5343975
르결,2016-12-10T00:46:07.375Z,캐릭터_일반,도적,고구려,F,3.587938593240197e+17,899,연,도적,8216912a829e5ba2f1d412cd2a92a5c2c47ea5ffea2564f587ca830a8f71acb2,741,581,361,547,1204,25101129,5404137
패브,2000-12-21T11:53:55Z,캐릭터_일반,도적,고구려,M,2.167847093384125e+16,899,연,도적,846a3f4677004db866d24d5447568a29efe8d04e6d233bd35cf2fabdeb93fb0d,695,563,417,514,1195,20994131,4445965
풍예랑,2003-04-21T00:51:03Z,캐릭터_일반,도적,고구려,M,547578155389354.0,899,연,도적,3d3bd1b7d1e0a8f7e307ed50dce79a12,779,531,382,583,1289,21659885,5032201
험무리,2018-03-13T11:03:37.75Z,캐릭터_일반,도적,부여,M,1732708971993924.0,899,연,도적,e1958038f34326bf02bcab521c8b59a686e68d4012202d0434d05f81868f68e3,726,540,368,520,1215,21210509,4648048
여래,2015-04-10T07:20:41.125Z,캐릭터_일반,주술사,고구려,F,6.500979781363164e+17,899,연,주술사,2bc62c887d0d5d4306cbc21dc08e9a93efe8d04e6d233bd35cf2fabdeb93fb0d,530,1234,540,371,701,9715960,11240186
특명접수,2019-08-19T09:03:13Z,캐릭터_일반,주술사,부여,M,7.573236912766244e+17,899,연,주술사,62b486cd347b3144f2298332f5962fe7fd842dab14be2a956555625b37c97bff,537,1360,509,362,628,11884191,11760790
라임초,2009-11-26T09:22:57Z,캐릭터_일반,주술사,고구려,M,8.868263542492813e+17,899,연,주술사,5fbeea0561bfcdcb83b967748ac7965aefe8d04e6d233bd35cf2fabdeb93fb0d,573,1237,582,398,716,9617117,10882686
대설령,2023-01-11T11:39:08.375Z,캐릭터_일반,주술사,부여,M,2470519716726211.0,899,연,주술사,7a530f90bc3a48e7be9db3a5a3e2b87e2da93d5c29221676a4f60204ae56aeef,409,1002,499,332,520,5647398,6078389
장미,2022-11-16T12:29:21.875Z,캐릭터_일반,주술사,고구려,M,1.239777718204547e+18,899,연,주술사,61a17fb11453a0f2d27fc8ee91bdc0ca05ba2700bb342426ae6b1920c32d3e85,528,1258,555,384,608,10872773,11188906
바태식,2023-11-20T10:20:38.375Z,캐릭터_일반,주술사,고구려,M,1.563026292417442e+17,899,연,주술사,91634323686dd9109f49eb7209b4191d1ef93588062ec11a1c7cd54f458134fa,496,1221,525,329,617,11057957,10717383
한방,2001-04-04T08:57:22Z,캐릭터_일반,주술사,부여,F,3183754422481883.0,899,연,주술사,f936e53832955f750ed3ed95ffe446fcefe8d04e6d233bd35cf2fabdeb93fb0d,541,1304,587,386,757,12466426,15647608
슈퍼타워,2015-12-18T11:15:04.375Z,캐릭터_일반,주술사,고구려,M,1.953317338640925e+16,899,연,주술사,ecd65071231fa5ee7717f445fef7c5edefe8d04e6d233bd35cf2fabdeb93fb0d,508,1244,540,382,678,9730277,11107529
타코,2022-11-27T13:45:53.625Z,캐릭터_일반,주술사,부여,M,2.8823102244749388e+16,899,연,주술사,b63eaafcdf89b266ca9771035b727af3d87665458318d481cf47ec2512ed4917,444,1159,506,337,613,8864044,10712236
토끼당,2012-12-20T12:15:05.625Z,캐릭터_일반,주술사,고구려,M,2.201745094373392e+16,899,연,주술사,cba36a7e502b65c06e7eecb5269aef46,533,1211,569,406,679,10662003,11637514
정령,2013-07-20T04:53:03Z,캐릭터_일반,도사,부여,M,6.304083406096577e+17,899,연,도사,38aa751daab7644ff20124a8308c0a94efe8d04e6d233bd35cf2fabdeb93fb0d,614,749,1068,557,568,9214162,11216709
냠심,2019-08-24T08:58:43.75Z,캐릭터_일반,도사,고구려,F,5.983710965054668e+16,899,연,도사,c1b67b69f713e4ff0ae7908373f47e304723574b05820acf03e7ec3162ff5bed,543,766,1069,548,553,9409367,11150539
그븐,2018-06-11T02:40:57.5Z,캐릭터_일반,도사,부여,M,381681491172393.0,899,연,도사,35a2676fbb2deb6e7a8cea8691142a16fd842dab14be2a956555625b37c97bff,567,708,1040,514,535,10215081,8438202
율시,2006-11-21T09:05:29Z,캐릭터_일반,도사,고구려,M,613993546685429.0,899,연,도사,fac72f54bc1f31a324d1863dfa0872b8efe8d04e6d233bd35cf2fabdeb93fb0d,474,614,1017,534,463,8390617,8854715
미초바,2005-03-09T12:10:27Z,캐릭터_일반,도사,부여,F,7.130130501651112e+17,899,연,도사,9ebf8b7157660e0630ab84e4db70d993,571,683,1053,539,578,10774974,10948105
주황색,2008-11-07T10:06:52Z,캐릭터_일반,도사,부여,M,6.170604627809644e+17,899,연,도사,c87cb5b724c71962beff87fc5f7bf9e0efe8d04e6d233bd35cf2fabdeb93fb0d,544,688,1060,562,534,9657259,10961704
휴린,2021-05-08T13:03:38.625Z,캐릭터_일반,도사,고구려,F,1.4712315376209302e+17,899,연,도사,0fd0c4aeaddd23fdd96ed777c5141656ee20e3c0428da3fc7dab0b059ad05b02,615,762,1008,578,541,11480785,14103950
상담,2004-09-28T18:03:35Z,캐릭터_일반,도사,부여,M,2.66058282674456e+18,899,연,도사,e80e27b0f49034c72a5c85bb3a68c4c5efe8d04e6d233bd35cf2fabdeb93fb0d,497,696,1051,522,488,8796856,11287575
우웅,2019-09-29T00:04:22.125Z,캐릭터_일반,도사,부여,M,1.0461281733976726e+18,899,연,도사,d26814be5531f7b03ee556d39e76510ffd842dab14be2a956555625b37c97bff,467,677,1056,536,459,8761245,10356412
