date,character_class,final_stat,remain_ap,nickname
,아델,"[{'stat_name': '최소 스탯공격력', 'stat_value': '373904068'}, {'stat_name': '최대 스탯공격력', 'stat_value': '415448962'}, {'stat_name': '데미지', 'stat_value': '101.00'}, {'stat_name': '보스 몬스터 데미지', 'stat_value': '475.00'}, {'stat_name': '최종 데미지', 'stat_value': '67.31'}, {'stat_name': '방어율 무시', 'stat_value': '96.99'}, {'stat_name': '크리티컬 확률', 'stat_value': '89'}, {'stat_name': '크리티컬 데미지', 'stat_value': '126.55'}, {'stat_name': '상태이상 내성', 'stat_value': '59'}, {'stat_name': '스탠스', 'stat_value': '100'}, {'stat_name': '방어력', 'stat_value': '99999'}, {'stat_name': '이동속도', 'stat_value': '160'}, {'stat_name': '점프력', 'stat_value': '123'}, {'stat_name': '스타포스', 'stat_value': '470'}, {'stat_name': '아케인포스', 'stat_value': '1360'}, {'stat_name': '어센틱포스', 'stat_value': '760'}, {'stat_name': 'STR', 'stat_value': '120343'}, {'stat_name': 'DEX', 'stat_value': '15408'}, {'stat_name': 'INT', 'stat_value': '12234'}, {'stat_name': 'LUK', 'stat_value': '11621'}, {'stat_name': 'HP', 'stat_value': '98426'}, {'stat_name': 'MP', 'stat_value': '34661'}, {'stat_name': 'AP 배분 STR', 'stat_value': '1478'}, {'stat_name': 'AP 배분 DEX', 'stat_value': '4'}, {'stat_name': 'AP 배분 INT', 'stat_value': '4'}, {'stat_name': 'AP 배분 LUK', 'stat_value': '4'}, {'stat_name': 'AP 배분 HP', 'stat_value': '0'}, {'stat_name': 'AP 배분 MP', 'stat_value': '0'}, {'stat_name': '아이템 드롭률', 'stat_value': '26'}, {'stat_name': '메소 획득량', 'stat_value': '18'}, {'stat_name': '버프 지속시간', 'stat_value': '71'}, {'stat_name': '공격 속도', 'stat_value': '6'}, {'stat_name': '일반 몬스터 데미지', 'stat_value': '12.00'}, {'stat_name': '재사용 대기시간 감소 (초)', 'stat_value': '7'}, {'stat_name': '재사용 대기시간 감소 (%)', 'stat_value': '6'}, {'stat_name': '재사용 대기시간 미적용', 'stat_value': '17'}, {'stat_name': '속성 내성 무시', 'stat_value': '5.00'}, {'stat_name': '상태이상 추가 데미지', 'stat_value': '14.00'}, {'stat_name': '무기 숙련도', 'stat_value': '90'}, {'stat_name': '추가 경험치 획득', 'stat_value': '195.00'}, {'stat_name': '공격력', 'stat_value': '19129'}, {'stat_name': '마력', 'stat_value': '4232'}, {'stat_name': '전투력', 'stat_value': '1352790435'}, {'stat_name': '소환수 지속시간 증가', 'stat_value': '10'}]",0,아델
,듀얼블레이더,"[{'stat_name': '최소 스탯공격력', 'stat_value': '97259195'}, {'stat_name': '최대 스탯공격력', 'stat_value': '108065771'}, {'stat_name': '데미지', 'stat_value': '71.00'}, {'stat_name': '보스 몬스터 데미지', 'stat_value': '410.00'}, {'stat_name': '최종 데미지', 'stat_value': '53.95'}, {'stat_name': '방어율 무시', 'stat_value': '84.67'}, {'stat_name': '크리티컬 확률', 'stat_value': '111'}, {'stat_name': '크리티컬 데미지', 'stat_value': '75.15'}, {'stat_name': '상태이상 내성', 'stat_value': '72'}, {'stat_name': '스탠스', 'stat_value': '100'}, {'stat_name': '방어력', 'stat_value': '84764'}, {'stat_name': '이동속도', 'stat_value': '160'}, {'stat_name': '점프력', 'stat_value': '123'}, {'stat_name': '스타포스', 'stat_value': '300'}, {'stat_name': '아케인포스', 'stat_value': '1360'}, {'stat_name': '어센틱포스', 'stat_value': '760'}, {'stat_name': 'STR', 'stat_value': '6493'}, {'stat_name': 'DEX', 'stat_value': '9569'}, {'stat_name': 'INT', 'stat_value': '6208'}, {'stat_name': 'LUK', 'stat_value': '67302'}, {'stat_name': 'HP', 'stat_value': '63114'}, {'stat_name': 'MP', 'stat_value': '33004'}, {'stat_name': 'AP 배분 STR', 'stat_value': '4'}, {'stat_name': 'AP 배분 DEX', 'stat_value': '4'}, {'stat_name': 'AP 배분 INT', 'stat_value': '4'}, {'stat_name': 'AP 배분 LUK', 'stat_value': '1488'}, {'stat_name': 'AP 배분 HP', 'stat_value': '534'}, {'stat_name': 'AP 배분 MP', 'stat_value': '292'}, {'stat_name': '아이템 드롭률', 'stat_value': '246'}, {'stat_name': '메소 획득량', 'stat_value': '145'}, {'stat_name': '버프 지속시간', 'stat_value': '52'}, {'stat_name': '공격 속도', 'stat_value': '6'}, {'stat_name': '일반 몬스터 데미지', 'stat_value': '144.00'}, {'stat_name': '재사용 대기시간 감소 (초)', 'stat_value': '5'}, {'stat_name': '재사용 대기시간 감소 (%)', 'stat_value': '6'}, {'stat_name': '재사용 대기시간 미적용', 'stat_value': '3'}, {'stat_name': '속성 내성 무시', 'stat_value': '5.00'}, {'stat_name': '상태이상 추가 데미지', 'stat_value': '0.00'}, {'stat_name': '무기 숙련도', 'stat_value': '90'}, {'stat_name': '추가 경험치 획득', 'stat_value': '303.00'}, {'stat_name': '공격력', 'stat_value': '11069'}, {'stat_name': '마력', 'stat_value': '1954'}, {'stat_name': '전투력', 'stat_value': '342425495'}, {'stat_name': '소환수 지속시간 증가', 'stat_value': '10'}]",0,치어
,데몬어벤져,"[{'stat_name': '최소 스탯공격력', 'stat_value': '271680490'}, {'stat_name': '최대 스탯공격력', 'stat_value': '301867210'}, {'stat_name': '데미지', 'stat_value': '93.00'}, {'stat_name': '보스 몬스터 데미지', 'stat_value': '499.00'}, {'stat_name': '최종 데미지', 'stat_value': '39.15'}, {'stat_name': '방어율 무시', 'stat_value': '97.02'}, {'stat_name': '크리티컬 확률', 'stat_value': '84'}, {'stat_name': '크리티컬 데미지', 'stat_value': '110.90'}, {'stat_name': '상태이상 내성', 'stat_value': '30'}, {'stat_name': '스탠스', 'stat_value': '100'}, {'stat_name': '방어력', 'stat_value': '60932'}, {'stat_name': '이동속도', 'stat_value': '160'}, {'stat_name': '점프력', 'stat_value': '123'}, {'stat_name': '스타포스', 'stat_value': '446'}, {'stat_name': '아케인포스', 'stat_value': '1360'}, {'stat_name': '어센틱포스', 'stat_value': '630'}, {'stat_name': 'STR', 'stat_value': '5615'}, {'stat_name': 'DEX', 'stat_value': '4811'}, {'stat_name': 'INT', 'stat_value': '3323'}, {'stat_name': 'LUK', 'stat_value': '3532'}, {'stat_name': 'HP', 'stat_value': '500000'}, {'stat_name': 'MP', 'stat_value': None}, {'stat_name': 'AP 배분 STR', 'stat_value': '4'}, {'stat_name': 'AP 배분 DEX', 'stat_value': '4'}, {'stat_name': 'AP 배분 INT', 'stat_value': '4'}, {'stat_name': 'AP 배분 LUK', 'stat_value': '4'}, {'stat_name': 'AP 배분 HP', 'stat_value': '21585'}, {'stat_name': 'AP 배분 MP', 'stat_value': '0'}, {'stat_name': '아이템 드롭률', 'stat_value': '12'}, {'stat_name': '메소 획득량', 'stat_value': '4'}, {'stat_name': '버프 지속시간', 'stat_value': '71'}, {'stat_name': '공격 속도', 'stat_value': '4'}, {'stat_name': '일반 몬스터 데미지', 'stat_value': '12.00'}, {'stat_name': '재사용 대기시간 감소 (초)', 'stat_value': '2'}, {'stat_name': '재사용 대기시간 감소 (%)', 'stat_value': '6'}, {'stat_name': '재사용 대기시간 미적용', 'stat_value': '27'}, {'stat_name': '속성 내성 무시', 'stat_value': '5.00'}, {'stat_name': '상태이상 추가 데미지', 'stat_value': '14.00'}, {'stat_name': '무기 숙련도', 'stat_value': '90'}, {'stat_name': '추가 경험치 획득', 'stat_value': '59.00'}, {'stat_name': '공격력', 'stat_value': '14009'}, {'stat_name': '마력', 'stat_value': '3710'}, {'stat_name': '전투력', 'stat_value': '1184547868'}, {'stat_name': '소환수 지속시간 증가', 'stat_value': '10'}]",0,흡혈
,소울마스터,"[{'stat_name': '최소 스탯공격력', 'stat_value': '66137106'}, {'stat_name': '최대 스탯공격력', 'stat_value': '73485673'}, {'stat_name': '데미지', 'stat_value': '73.00'}, {'stat_name': '보스 몬스터 데미지', 'stat_value': '428.00'}, {'stat_name': '최종 데미지', 'stat_value': '10.00'}, {'stat_name': '방어율 무시', 'stat_value': '93.10'}, {'stat_name': '크리티컬 확률', 'stat_value': '73'}, {'stat_name': '크리티컬 데미지', 'stat_value': '114.15'}, {'stat_name': '상태이상 내성', 'stat_value': '74'}, {'stat_name': '스탠스', 'stat_value': '100'}, {'stat_name': '방어력', 'stat_value': '99999'}, {'stat_name': '이동속도', 'stat_value': '170'}, {'stat_name': '점프력', 'stat_value': '123'}, {'stat_name': '스타포스', 'stat_value': '276'}, {'stat_name': '아케인포스', 'stat_value': '1350'}, {'stat_name': '어센틱포스', 'stat_value': '770'}, {'stat_name': 'STR', 'stat_value': '68184'}, {'stat_name': 'DEX', 'stat_value': '7810'}, {'stat_name': 'INT', 'stat_value': '5863'}, {'stat_name': 'LUK', 'stat_value': '4796'}, {'stat_name': 'HP', 'stat_value': '72905'}, {'stat_name': 'MP', 'stat_value': '37706'}, {'stat_name': 'AP 배분 STR', 'stat_value': '1488'}, {'stat_name': 'AP 배분 DEX', 'stat_value': '4'}, {'stat_name': 'AP 배분 INT', 'stat_value': '4'}, {'stat_name': 'AP 배분 LUK', 'stat_value': '4'}, {'stat_name': 'AP 배분 HP', 'stat_value': '0'}, {'stat_name': 'AP 배분 MP', 'stat_value': '0'}, {'stat_name': '아이템 드롭률', 'stat_value': '247'}, {'stat_name': '메소 획득량', 'stat_value': '145'}, {'stat_name': '버프 지속시간', 'stat_value': '115'}, {'stat_name': '공격 속도', 'stat_value': '4'}, {'stat_name': '일반 몬스터 데미지', 'stat_value': '132.00'}, {'stat_name': '재사용 대기시간 감소 (초)', 'stat_value': '5'}, {'stat_name': '재사용 대기시간 감소 (%)', 'stat_value': '6'}, {'stat_name': '재사용 대기시간 미적용', 'stat_value': '0'}, {'stat_name': '속성 내성 무시', 'stat_value': '5.00'}, {'stat_name': '상태이상 추가 데미지', 'stat_value': '6.00'}, {'stat_name': '무기 숙련도', 'stat_value': '90'}, {'stat_name': '추가 경험치 획득', 'stat_value': '312.00'}, {'stat_name': '공격력', 'stat_value': '10272'}, {'stat_name': '마력', 'stat_value': '2319'}, {'stat_name': '전투력', 'stat_value': '332864048'}, {'stat_name': '소환수 지속시간 증가', 'stat_value': '10'}]",0,애인
,아델,"[{'stat_name': '최소 스탯공격력', 'stat_value': '131420503'}, {'stat_name': '최대 스탯공격력', 'stat_value': '144418133'}, {'stat_name': '데미지', 'stat_value': '88.00'}, {'stat_name': '보스 몬스터 데미지', 'stat_value': '435.00'}, {'stat_name': '최종 데미지', 'stat_value': '68.60'}, {'stat_name': '방어율 무시', 'stat_value': '94.87'}, {'stat_name': '크리티컬 확률', 'stat_value': '113'}, {'stat_name': '크리티컬 데미지', 'stat_value': '98.80'}, {'stat_name': '상태이상 내성', 'stat_value': '75'}, {'stat_name': '스탠스', 'stat_value': '100'}, {'stat_name': '방어력', 'stat_value': '99999'}, {'stat_name': '이동속도', 'stat_value': '160'}, {'stat_name': '점프력', 'stat_value': '123'}, {'stat_name': '스타포스', 'stat_value': '305'}, {'stat_name': '아케인포스', 'stat_value': '1350'}, {'stat_name': '어센틱포스', 'stat_value': '770'}, {'stat_name': 'STR', 'stat_value': '74282'}, {'stat_name': 'DEX', 'stat_value': '8813'}, {'stat_name': 'INT', 'stat_value': '5000'}, {'stat_name': 'LUK', 'stat_value': '5522'}, {'stat_name': 'HP', 'stat_value': '88420'}, {'stat_name': 'MP', 'stat_value': '33729'}, {'stat_name': 'AP 배분 STR', 'stat_value': '1493'}, {'stat_name': 'AP 배분 DEX', 'stat_value': '4'}, {'stat_name': 'AP 배분 INT', 'stat_value': '4'}, {'stat_name': 'AP 배분 LUK', 'stat_value': '4'}, {'stat_name': 'AP 배분 HP', 'stat_value': '0'}, {'stat_name': 'AP 배분 MP', 'stat_value': '0'}, {'stat_name': '아이템 드롭률', 'stat_value': '271'}, {'stat_name': '메소 획득량', 'stat_value': '146'}, {'stat_name': '버프 지속시간', 'stat_value': '65'}, {'stat_name': '공격 속도', 'stat_value': '6'}, {'stat_name': '일반 몬스터 데미지', 'stat_value': '110.00'}, {'stat_name': '재사용 대기시간 감소 (초)', 'stat_value': '5'}, {'stat_name': '재사용 대기시간 감소 (%)', 'stat_value': '6'}, {'stat_name': '재사용 대기시간 미적용', 'stat_value': '7'}, {'stat_name': '속성 내성 무시', 'stat_value': '5.00'}, {'stat_name': '상태이상 추가 데미지', 'stat_value': '0.00'}, {'stat_name': '무기 숙련도', 'stat_value': '91'}, {'stat_name': '추가 경험치 획득', 'stat_value': '301.50'}, {'stat_name': '공격력', 'stat_value': '11456'}, {'stat_name': '마력', 'stat_value': '2213'}, {'stat_name': '전투력', 'stat_value': '382276728'}, {'stat_name': '소환수 지속시간 증가', 'stat_value': '0'}]",0,패릿
,캐논마스터,"[{'stat_name': '최소 스탯공격력', 'stat_value': '130212259'}, {'stat_name': '최대 스탯공격력', 'stat_value': '151409602'}, {'stat_name': '데미지', 'stat_value': '92.00'}, {'stat_name': '보스 몬스터 데미지', 'stat_value': '411.00'}, {'stat_name': '최종 데미지', 'stat_value': '74.76'}, {'stat_name': '방어율 무시', 'stat_value': '89.75'}, {'stat_name': '크리티컬 확률', 'stat_value': '123'}, {'stat_name': '크리티컬 데미지', 'stat_value': '120.90'}, {'stat_name': '상태이상 내성', 'stat_value': '64'}, {'stat_name': '스탠스', 'stat_value': '100'}, {'stat_name': '방어력', 'stat_value': '99999'}, {'stat_name': '이동속도', 'stat_value': '160'}, {'stat_name': '점프력', 'stat_value': '123'}, {'stat_name': '스타포스', 'stat_value': '291'}, {'stat_name': '아케인포스', 'stat_value': '1350'}, {'stat_name': '어센틱포스', 'stat_value': '770'}, {'stat_name': 'STR', 'stat_value': '70221'}, {'stat_name': 'DEX', 'stat_value': '11187'}, {'stat_name': 'INT', 'stat_value': '7573'}, {'stat_name': 'LUK', 'stat_value': '6633'}, {'stat_name': 'HP', 'stat_value': '60655'}, {'stat_name': 'MP', 'stat_value': '38145'}, {'stat_name': 'AP 배분 STR', 'stat_value': '1488'}, {'stat_name': 'AP 배분 DEX', 'stat_value': '4'}, {'stat_name': 'AP 배분 INT', 'stat_value': '4'}, {'stat_name': 'AP 배분 LUK', 'stat_value': '4'}, {'stat_name': 'AP 배분 HP', 'stat_value': '0'}, {'stat_name': 'AP 배분 MP', 'stat_value': '-511'}, {'stat_name': '아이템 드롭률', 'stat_value': '271'}, {'stat_name': '메소 획득량', 'stat_value': '134'}, {'stat_name': '버프 지속시간', 'stat_value': '55'}, {'stat_name': '공격 속도', 'stat_value': '2'}, {'stat_name': '일반 몬스터 데미지', 'stat_value': '129.00'}, {'stat_name': '재사용 대기시간 감소 (초)', 'stat_value': '5'}, {'stat_name': '재사용 대기시간 감소 (%)', 'stat_value': '6'}, {'stat_name': '재사용 대기시간 미적용', 'stat_value': '7'}, {'stat_name': '속성 내성 무시', 'stat_value': '5.00'}, {'stat_name': '상태이상 추가 데미지', 'stat_value': '6.00'}, {'stat_name': '무기 숙련도', 'stat_value': '86'}, {'stat_name': '추가 경험치 획득', 'stat_value': '312.00'}, {'stat_name': '공격력', 'stat_value': '10300'}, {'stat_name': '마력', 'stat_value': '2115'}, {'stat_name': '전투력', 'stat_value': '357035022'}, {'stat_name': '소환수 지속시간 증가', 'stat_value': '30'}]",0,진격캐넌
,듀얼블레이더,"[{'stat_name': '최소 스탯공격력', 'stat_value': '223185131'}, {'stat_name': '최대 스탯공격력', 'stat_value': '245258385'}, {'stat_name': '데미지', 'stat_value': '93.00'}, {'stat_name': '보스 몬스터 데미지', 'stat_value': '625.00'}, {'stat_name': '최종 데미지', 'stat_value': '53.95'}, {'stat_name': '방어율 무시', 'stat_value': '96.07'}, {'stat_name': '크리티컬 확률', 'stat_value': '100'}, {'stat_name': '크리티컬 데미지', 'stat_value': '119.55'}, {'stat_name': '상태이상 내성', 'stat_value': '52'}, {'stat_name': '스탠스', 'stat_value': '100'}, {'stat_name': '방어력', 'stat_value': '99999'}, {'stat_name': '이동속도', 'stat_value': '160'}, {'stat_name': '점프력', 'stat_value': '123'}, {'stat_name': '스타포스', 'stat_value': '459'}, {'stat_name': '아케인포스', 'stat_value': '1350'}, {'stat_name': '어센틱포스', 'stat_value': '660'}, {'stat_name': 'STR', 'stat_value': '15278'}, {'stat_name': 'DEX', 'stat_value': '19418'}, {'stat_name': 'INT', 'stat_value': '14367'}, {'stat_name': 'LUK', 'stat_value': '109884'}, {'stat_name': 'HP', 'stat_value': '54755'}, {'stat_name': 'MP', 'stat_value': '29650'}, {'stat_name': 'AP 배분 STR', 'stat_value': '4'}, {'stat_name': 'AP 배분 DEX', 'stat_value': '4'}, {'stat_name': 'AP 배분 INT', 'stat_value': '4'}, {'stat_name': 'AP 배분 LUK', 'stat_value': '1453'}, {'stat_name': 'AP 배분 HP', 'stat_value': '241'}, {'stat_name': 'AP 배분 MP', 'stat_value': '79'}, {'stat_name': '아이템 드롭률', 'stat_value': '33'}, {'stat_name': '메소 획득량', 'stat_value': '13'}, {'stat_name': '버프 지속시간', 'stat_value': '46'}, {'stat_name': '공격 속도', 'stat_value': '6'}, {'stat_name': '일반 몬스터 데미지', 'stat_value': '12.00'}, {'stat_name': '재사용 대기시간 감소 (초)', 'stat_value': '5'}, {'stat_name': '재사용 대기시간 감소 (%)', 'stat_value': '6'}, {'stat_name': '재사용 대기시간 미적용', 'stat_value': '0'}, {'stat_name': '속성 내성 무시', 'stat_value': '5.00'}, {'stat_name': '상태이상 추가 데미지', 'stat_value': '14.00'}, {'stat_name': '무기 숙련도', 'stat_value': '91'}, {'stat_name': '추가 경험치 획득', 'stat_value': '172.00'}, {'stat_name': '공격력', 'stat_value': '13389'}, {'stat_name': '마력', 'stat_value': '3324'}, {'stat_name': '전투력', 'stat_value': '1079701327'}, {'stat_name': '소환수 지속시간 증가', 'stat_value': '10'}]",0,담배피운듀얼
,"아크메이지(불,독)","[{'stat_name': '최소 스탯공격력', 'stat_value': '257401263'}, {'stat_name': '최대 스탯공격력', 'stat_value': '270948696'}, {'stat_name': '데미지', 'stat_value': '122.00'}, {'stat_name': '보스 몬스터 데미지', 'stat_value': '544.00'}, {'stat_name': '최종 데미지', 'stat_value': '54.00'}, {'stat_name': '방어율 무시', 'stat_value': '97.36'}, {'stat_name': '크리티컬 확률', 'stat_value': '90'}, {'stat_name': '크리티컬 데미지', 'stat_value': '116.25'}, {'stat_name': '상태이상 내성', 'stat_value': '78'}, {'stat_name': '스탠스', 'stat_value': '100'}, {'stat_name': '방어력', 'stat_value': '43341'}, {'stat_name': '이동속도', 'stat_value': '170'}, {'stat_name': '점프력', 'stat_value': '123'}, {'stat_name': '스타포스', 'stat_value': '442'}, {'stat_name': '아케인포스', 'stat_value': '1350'}, {'stat_name': '어센틱포스', 'stat_value': '770'}, {'stat_name': 'STR', 'stat_value': '10552'}, {'stat_name': 'DEX', 'stat_value': '12016'}, {'stat_name': 'INT', 'stat_value': '110646'}, {'stat_name': 'LUK', 'stat_value': '16468'}, {'stat_name': 'HP', 'stat_value': '47978'}, {'stat_name': 'MP', 'stat_value': '82939'}, {'stat_name': 'AP 배분 STR', 'stat_value': '4'}, {'stat_name': 'AP 배분 DEX', 'stat_value': '4'}, {'stat_name': 'AP 배분 INT', 'stat_value': '1488'}, {'stat_name': 'AP 배분 LUK', 'stat_value': '4'}, {'stat_name': 'AP 배분 HP', 'stat_value': '0'}, {'stat_name': 'AP 배분 MP', 'stat_value': '0'}, {'stat_name': '아이템 드롭률', 'stat_value': '27'}, {'stat_name': '메소 획득량', 'stat_value': '15'}, {'stat_name': '버프 지속시간', 'stat_value': '198'}, {'stat_name': '공격 속도', 'stat_value': '4'}, {'stat_name': '일반 몬스터 데미지', 'stat_value': '12.00'}, {'stat_name': '재사용 대기시간 감소 (초)', 'stat_value': '5'}, {'stat_name': '재사용 대기시간 감소 (%)', 'stat_value': '6'}, {'stat_name': '재사용 대기시간 미적용', 'stat_value': '7'}, {'stat_name': '속성 내성 무시', 'stat_value': '15.00'}, {'stat_name': '상태이상 추가 데미지', 'stat_value': '14.00'}, {'stat_name': '무기 숙련도', 'stat_value': '95'}, {'stat_name': '추가 경험치 획득', 'stat_value': '185.00'}, {'stat_name': '공격력', 'stat_value': '3686'}, {'stat_name': '마력', 'stat_value': '14387'}, {'stat_name': '전투력', 'stat_value': '1044576755'}, {'stat_name': '소환수 지속시간 증가', 'stat_value': '10'}]",0,에브
,"아크메이지(불,독)","[{'stat_name': '최소 스탯공격력', 'stat_value': '242303776'}, {'stat_name': '최대 스탯공격력', 'stat_value': '255056605'}, {'stat_name': '데미지', 'stat_value': '119.00'}, {'stat_name': '보스 몬스터 데미지', 'stat_value': '544.00'}, {'stat_name': '최종 데미지', 'stat_value': '54.00'}, {'stat_name': '방어율 무시', 'stat_value': '95.52'}, {'stat_name': '크리티컬 확률', 'stat_value': '92'}, {'stat_name': '크리티컬 데미지', 'stat_value': '108.50'}, {'stat_name': '상태이상 내성', 'stat_value': '65'}, {'stat_name': '스탠스', 'stat_value': '100'}, {'stat_name': '방어력', 'stat_value': '38933'}, {'stat_name': '이동속도', 'stat_value': '170'}, {'stat_name': '점프력', 'stat_value': '123'}, {'stat_name': '스타포스', 'stat_value': '444'}, {'stat_name': '아케인포스', 'stat_value': '1350'}, {'stat_name': '어센틱포스', 'stat_value': '770'}, {'stat_name': 'STR', 'stat_value': '9466'}, {'stat_name': 'DEX', 'stat_value': '9049'}, {'stat_name': 'INT', 'stat_value': '111549'}, {'stat_name': 'LUK', 'stat_value': '12678'}, {'stat_name': 'HP', 'stat_value': '45115'}, {'stat_name': 'MP', 'stat_value': '80684'}, {'stat_name': 'AP 배분 STR', 'stat_value': '4'}, {'stat_name': 'AP 배분 DEX', 'stat_value': '4'}, {'stat_name': 'AP 배분 INT', 'stat_value': '1483'}, {'stat_name': 'AP 배분 LUK', 'stat_value': '4'}, {'stat_name': 'AP 배분 HP', 'stat_value': '0'}, {'stat_name': 'AP 배분 MP', 'stat_value': '0'}, {'stat_name': '아이템 드롭률', 'stat_value': '27'}, {'stat_name': '메소 획득량', 'stat_value': '31'}, {'stat_name': '버프 지속시간', 'stat_value': '202'}, {'stat_name': '공격 속도', 'stat_value': '4'}, {'stat_name': '일반 몬스터 데미지', 'stat_value': '52.00'}, {'stat_name': '재사용 대기시간 감소 (초)', 'stat_value': '5'}, {'stat_name': '재사용 대기시간 감소 (%)', 'stat_value': '6'}, {'stat_name': '재사용 대기시간 미적용', 'stat_value': '0'}, {'stat_name': '속성 내성 무시', 'stat_value': '15.00'}, {'stat_name': '상태이상 추가 데미지', 'stat_value': '14.00'}, {'stat_name': '무기 숙련도', 'stat_value': '95'}, {'stat_name': '추가 경험치 획득', 'stat_value': '217.00'}, {'stat_name': '공격력', 'stat_value': '3807'}, {'stat_name': '마력', 'stat_value': '13734'}, {'stat_name': '전투력', 'stat_value': '967595129'}, {'stat_name': '소환수 지속시간 증가', 'stat_value': '10'}]",0,민아
,팔라딘,"[{'stat_name': '최소 스탯공격력', 'stat_value': '223301385'}, {'stat_name': '최대 스탯공격력', 'stat_value': '245386136'}, {'stat_name': '데미지', 'stat_value': '73.00'}, {'stat_name': '보스 몬스터 데미지', 'stat_value': '669.00'}, {'stat_name': '최종 데미지', 'stat_value': '89.00'}, {'stat_name': '방어율 무시', 'stat_value': '97.01'}, {'stat_name': '크리티컬 확률', 'stat_value': '100'}, {'stat_name': '크리티컬 데미지', 'stat_value': '135.90'}, {'stat_name': '상태이상 내성', 'stat_value': '66'}, {'stat_name': '스탠스', 'stat_value': '100'}, {'stat_name': '방어력', 'stat_value': '99999'}, {'stat_name': '이동속도', 'stat_value': '160'}, {'stat_name': '점프력', 'stat_value': '123'}, {'stat_name': '스타포스', 'stat_value': '405'}, {'stat_name': '아케인포스', 'stat_value': '1350'}, {'stat_name': '어센틱포스', 'stat_value': '770'}, {'stat_name': 'STR', 'stat_value': '112118'}, {'stat_name': 'DEX', 'stat_value': '12367'}, {'stat_name': 'INT', 'stat_value': '8377'}, {'stat_name': 'LUK', 'stat_value': '9459'}, {'stat_name': 'HP', 'stat_value': '90169'}, {'stat_name': 'MP', 'stat_value': '32732'}, {'stat_name': 'AP 배분 STR', 'stat_value': '1488'}, {'stat_name': 'AP 배분 DEX', 'stat_value': '4'}, {'stat_name': 'AP 배분 INT', 'stat_value': '4'}, {'stat_name': 'AP 배분 LUK', 'stat_value': '4'}, {'stat_name': 'AP 배분 HP', 'stat_value': '350'}, {'stat_name': 'AP 배분 MP', 'stat_value': '0'}, {'stat_name': '아이템 드롭률', 'stat_value': '51'}, {'stat_name': '메소 획득량', 'stat_value': '19'}, {'stat_name': '버프 지속시간', 'stat_value': '73'}, {'stat_name': '공격 속도', 'stat_value': '4'}, {'stat_name': '일반 몬스터 데미지', 'stat_value': '12.00'}, {'stat_name': '재사용 대기시간 감소 (초)', 'stat_value': '5'}, {'stat_name': '재사용 대기시간 감소 (%)', 'stat_value': '6'}, {'stat_name': '재사용 대기시간 미적용', 'stat_value': '17'}, {'stat_name': '속성 내성 무시', 'stat_value': '5.00'}, {'stat_name': '상태이상 추가 데미지', 'stat_value': '8.00'}, {'stat_name': '무기 숙련도', 'stat_value': '91'}, {'stat_name': '추가 경험치 획득', 'stat_value': '234.00'}, {'stat_name': '공격력', 'stat_value': '12153'}, {'stat_name': '마력', 'stat_value': '3157'}, {'stat_name': '전투력', 'stat_value': '1045622753'}, {'stat_name': '소환수 지속시간 증가', 'stat_value': '10'}]",0,토르
