nickname,world_name,character_class,character_level,character_exp_rate,character_date_create,dojang_best_floor,dojang_best_time,popularity,최소 스탯공격력,최대 스탯공격력,데미지,보스 몬스터 데미지,최종 데미지,방어율 무시,크리티컬 확률,크리티컬 데미지,상태이상 내성,스탠스,방어력,이동속도,점프력,스타포스,아케인포스,어센틱포스,STR,DEX,INT,LUK,HP,MP,AP 배분 STR,AP 배분 DEX,AP 배분 INT,AP 배분 LUK,AP 배분 HP,AP 배분 MP,아이템 드롭률,메소 획득량,버프 지속시간,공격 속도,일반 몬스터 데미지,재사용 대기시간 감소 (초),재사용 대기시간 감소 (%),재사용 대기시간 미적용,속성 내성 무시,상태이상 추가 데미지,무기 숙련도,추가 경험치 획득,공격력,마력,전투력,소환수 지속시간 증가,force_sum,force_mean,force_min
아델,스카니아,아델,292,47.568,2020-01-16T00:00+09:00,99,896,8778,373904068,415448962,101.00,475.00,67.31,96.99,89,126.55,59,100,99999,160,123,470,1360,760,120343,15408,12234,11621,98426,34661,1478,4,4,4,0,0,26,18,71,6,12.00,7,6,17,5.00,14.00,90,195.00,19129,4232,1352790435,10,2080.0,160.0,100.0
흡혈,스카니아,데몬어벤져,285,70.911,2022-03-30T00:00+09:00,85,884,595,271680490,301867210,93.00,499.00,39.15,97.02,84,110.90,30,100,60932,160,123,446,1360,630,5615,4811,3323,3532,500000,,4,4,4,4,21585,0,12,4,71,4,12.00,2,6,27,5.00,14.00,90,59.00,14009,3710,1184547868,10,1950.0,150.0,0.0
애인,엘리시움,소울마스터,294,83.118,2022-07-09T00:00+09:00,92,900,1276,66137106,73485673,73.00,428.00,10.00,93.10,73,114.15,74,100,99999,170,123,276,1350,770,68184,7810,5863,4796,72905,37706,1488,4,4,4,0,0,247,145,115,4,132.00,5,6,0,5.00,6.00,90,312.00,10272,2319,332864048,10,2090.0,160.76923076923077,110.0
진격캐넌,루나,캐논마스터,294,65.747,2011-07-07T00:00+09:00,100,898,15878,130212259,151409602,92.00,411.00,74.76,89.75,123,120.90,64,100,99999,160,123,291,1350,770,70221,11187,7573,6633,60655,38145,1488,4,4,4,0,-511,271,134,55,2,129.00,5,6,7,5.00,6.00,86,312.00,10300,2115,357035022,30,2090.0,160.76923076923077,110.0
담배피운듀얼,엘리시움,듀얼블레이더,287,17.334,2010-02-28T00:00+09:00,95,882,7,223185131,245258385,93.00,625.00,53.95,96.07,100,119.55,52,100,99999,160,123,459,1350,660,15278,19418,14367,109884,54755,29650,4,4,4,1453,241,79,33,13,46,6,12.00,5,6,0,5.00,14.00,91,172.00,13389,3324,1079701327,10,1980.0,152.30769230769232,0.0
에브,루나,"아크메이지(불,독)",294,11.764,2022-05-05T00:00+09:00,97,857,661,257401263,270948696,122.00,544.00,54.00,97.36,90,116.25,78,100,43341,170,123,442,1350,770,10552,12016,110646,16468,47978,82939,4,4,1488,4,0,0,27,15,198,4,12.00,5,6,7,15.00,14.00,95,185.00,3686,14387,1044576755,10,2090.0,160.76923076923077,110.0
민아,엘리시움,"아크메이지(불,독)",293,92.193,2022-09-17T00:00+09:00,0,0,279,242303776,255056605,119.00,544.00,54.00,95.52,92,108.50,65,100,38933,170,123,444,1350,770,9466,9049,111549,12678,45115,80684,4,4,1483,4,0,0,27,31,202,4,52.00,5,6,0,15.00,14.00,95,217.00,3807,13734,967595129,10,2090.0,160.76923076923077,110.0
토르,크로아,팔라딘,294,88.992,2019-06-17T00:00+09:00,75,865,4540,223301385,245386136,73.00,669.00,89.00,97.01,100,135.90,66,100,99999,160,123,405,1350,770,112118,12367,8377,9459,90169,32732,1488,4,4,4,350,0,51,19,73,4,12.00,5,6,17,5.00,8.00,91,234.00,12153,3157,1045622753,10,2090.0,160.76923076923077,110.0
토니,엘리시움,은월,294,4.486,2016-07-15T00:00+09:00,92,873,1794,153389710,170433009,114.00,416.00,62.81,95.16,110,105.80,85,100,99999,160,123,284,1350,760,69139,9113,6260,6141,81757,54194,1488,4,4,4,-415,-449,290,254,60,5,125.00,5,6,7,5.00,0.00,90,695.00,10073,2178,303202090,15,2080.0,160.0,100.0
괴수,크로아,듀얼블레이더,288,70.779,2015-01-18T00:00+09:00,89,890,28,93192760,103547510,64.00,375.00,53.95,85.53,110,97.50,74,100,89236,160,123,303,1350,660,8174,10721,6405,67987,63082,38010,4,4,4,1458,58,52,232,118,46,6,122.00,5,5,6,5.00,6.00,90,186.00,10847,2070,350912136,10,1980.0,152.30769230769232,0.0
이스,베라,듀얼블레이더,295,5.939,2011-01-11T00:00+09:00,86,877,2615,96465383,107183757,95.00,390.00,53.95,88.60,107,104.50,75,100,92835,160,123,354,1350,770,8465,10439,7629,68465,66033,36726,4,4,4,1493,104,12,247,134,55,6,106.00,6,6,7,5.00,0.00,90,274.00,9381,1955,330632398,12,2090.0,160.76923076923077,110.0
뚱달콤,엘리시움,아란,293,61.382,2018-07-21T00:00+09:00,65,860,769,249777371,277530410,114.00,559.00,45.20,97.58,90,122.45,65,100,99999,168,123,432,1350,760,113172,12461,8594,8729,64653,16943,1483,4,4,4,0,-414,26,30,86,5,12.00,0,6,7,5.00,14.00,90,168.00,12887,3146,972156672,0,2080.0,160.0,100.0
쭈쭈,루나,데몬어벤져,290,34.16,2024-12-23T00:00+09:00,0,0,21,98475642,109417378,101.00,307.00,39.15,89.19,92,90.20,28,100,50104,160,123,296,1390,750,4186,3689,2498,2825,500000,,4,4,4,4,21960,0,238,148,55,4,136.00,2,6,7,5.00,6.00,90,261.00,8405,1917,265737386,0,2030.0,156.15384615384616,70.0
