ouid,grade_ranking,season_grade_ranking,recent_win_rate,recent_kill_death_rate,recent_assault_rate,recent_sniper_rate,recent_special_rate,solo_rank_match_tier,solo_rank_match_score,party_rank_match_tier,party_rank_match_score,user_date_create,manner_score,clan_flag
9b2852e25a85deebc5ce4173b1ccc1e6,1.0,7.0,83.333328,56.310677,59.523808,60.0,76.470589,RANKER,3902.0,MASTER III,2905.0,2020-02-02,3.0,1
18e17412f97995c818b669bf4052a753,2.0,12.0,90.0,66.5,71.0,77.333336,67.666664,MASTER III,2888.0,GRAND MASTER II,3333.0,2011-03-20,3.0,1
1dde487186c06c2f54e65484219d1d09,3.0,320.0,100.0,56.0,51.333332,67.333336,55.333332,UNRANK,1950.0,MASTER II,2634.0,2012-04-28,3.0,1
bc0a86cc5d24182a2e09a2d29644e205,4.0,8.0,48.333332,49.833332,50.333332,60.0,49.333332,LEGEND,3707.0,MASTER I,2529.0,2018-09-19,3.0,1
332522192aed72ca90aaa95d90e1b08d,6.0,9.0,91.666672,61.5,61.333336,60.714287,59.666668,GOLD III,2399.0,GOLD I,1875.0,2013-02-19,3.0,1
273812858150a28424d56f440a5b1499,7.0,123591.0,50.0,52.333332,48.591549,64.333336,57.666668,GOLD II,2124.0,GOLD I,1946.0,2015-12-31,2.0,1
7fab3087eda49357ee067c51b8f8b3eb,8.0,2371.0,91.666672,58.0,57.333332,77.666664,66.333336,GRAND MASTER I,3122.0,MASTER III,2992.0,2016-12-27,3.0,1
fb59b9ebe43ffd9d6b8b5aa9e33b97b3,9.0,4090.0,100.0,65.666672,64.0,78.333336,64.666664,MASTER III,2946.0,MASTER II,2712.0,2010-02-18,3.0,1
b54f2c11425549c9a0309f8f8876dfd1,10.0,130.0,53.333336,56.0,53.666668,74.0,51.333332,UNRANK,1400.0,SILVER III,1778.0,2010-02-02,3.0,1
5b73ce7ccce4e2aa1966c49c83780b47,11.0,35.0,46.666668,59.166664,56.0,71.0,62.333332,UNRANK,2400.0,MASTER III,2972.0,2010-10-17,3.0,1
580ef4be741c2746e671fdf05205e546,12.0,29.0,95.0,62.166668,61.333336,79.333336,58.333332,UNRANK,2520.0,LEGEND,3673.0,2014-04-03,3.0,1
63bbb405e661019a480b7c0648e84590,11.0,9466.0,0.0,60.000004,0.0,75.0,0.0,UNRANK,2350.0,UNRANK,2350.0,2014-05-03,3.0,1
502bf3d1c519055efd7b4e7313ccefbe,14.0,84.0,98.333336,58.499996,72.0,100.0,55.333332,GOLD I,1818.0,UNRANK,1550.0,2005-09-17,3.0,1
f093eae67469de7498e7b3bd3de80713,15.0,7657.0,65.0,54.833336,50.666664,70.0,46.938774,MASTER I,2428.0,UNRANK,1800.0,2014-01-05,3.0,1
c48ec5e498103c87505a145734df2f4d,15.0,41.0,100.0,71.666664,75.0,85.333336,74.333336,GOLD III,2273.0,MASTER I,2497.0,2019-12-29,3.0,1
ca080f89fd0f8978f867f2799572d1a6,17.0,4750.0,100.0,54.666668,50.666668,51.333332,48.0,UNRANK,1500.0,GOLD II,2143.0,2009-06-16,3.0,1
be8178231c717712201d9191605362ab,18.0,72.0,90.0,60.166668,58.666664,71.0,58.0,GOLD I,1904.0,GOLD III,2288.0,2014-11-25,3.0,1
e570c51ad87baaab53dce767c701c3d3,19.0,57.0,53.333336,55.5,57.0,66.0,53.333332,UNRANK,2400.0,GRAND MASTER II,3250.0,2015-04-09,3.0,1
5ae9a0aba72b7bdbfff9cf7b1ab12079,20.0,2153.0,51.666664,34.833332,34.0,60.0,41.666668,UNRANK,1550.0,UNRANK,1550.0,2008-11-22,3.0,1
2203c145161ac614f582061d62c5748e,21.0,3061.0,87.5,56.333332,52.333332,0.0,52.0,GOLD III,2369.0,MASTER I,2487.0,2010-07-22,3.0,1
5108872b4333bb22a48517638cd4fbed,22.0,397.0,100.0,66.333336,67.666664,73.666664,61.666668,UNRANK,1400.0,UNRANK,1400.0,2013-07-26,0.0,1
5deaa01e89f395a90815102bd8137fb7,23.0,80.0,33.333332,65.789474,0.0,69.444443,0.0,GOLD I,1871.0,GOLD III,2296.0,2012-08-28,3.0,1
e26863167555673a1b52bff349a9893d,24.0,1109.0,60.000004,58.0,61.666668,74.666664,50.666668,MASTER I,2574.0,GRAND MASTER II,3201.0,2012-03-23,3.0,1
b93f28b48b7637450e70fab96a4498da,25.0,235.0,53.333336,54.212456,44.444447,63.967613,68.181816,UNRANK,2250.0,GRAND MASTER I,3123.0,2011-07-08,3.0,1
a1c13bf09c5566436919baefd49038e8,27.0,10070.0,50.0,55.166668,48.666668,75.0,46.666668,GOLD III,2381.0,GOLD II,2199.0,2006-02-11,3.0,1
0ed71d04383bd12216b14b614d4a41f2,28.0,13.0,91.666672,51.666664,40.666668,46.0,48.333332,MASTER I,2490.0,SILVER III,1763.0,2006-11-23,3.0,1
1fa1b70d5b3de816520ba1a99e485191,28.0,12880.0,50.0,58.666664,57.0,70.0,51.0,MASTER I,2599.0,GOLD I,1933.0,2011-08-26,2.0,1
096a3023fe20810eca6aee054c84f357,29.0,439.0,65.0,55.5,55.333336,64.0,57.599998,UNRANK,2462.0,MASTER III,2958.0,2012-01-11,3.0,1
e8105bc04e4a48451d1ef5b73bf7cb02,31.0,350.0,41.666664,48.166664,53.731346,48.360657,46.0,MASTER I,2545.0,MASTER I,2575.0,2015-01-04,3.0,1
642e49d62b7644ad7f9987aa1980e51b,33.0,757.0,71.666664,52.666664,52.999996,64.666664,36.666668,MASTER I,2543.0,UNRANK,2311.0,2014-04-06,3.0,1
f636440af24b8e6e095e307046fd738a,34.0,44.0,48.333332,56.5,65.333336,54.333332,55.666668,GOLD I,1999.0,GOLD I,1933.0,2018-12-16,3.0,1
93e261a22fb8c6651a418d580373708d,36.0,855.0,55.0,49.833332,48.0,61.333332,55.0,SILVER II,1479.0,GOLD I,1849.0,2013-10-05,3.0,1
0632880a7c4e164b272fac72b73aef0f,37.0,2727.0,43.333332,57.5,64.0,68.0,55.714287,GRAND MASTER I,3148.0,GRAND MASTER I,3072.0,2007-09-21,3.0,1
e0fd923c800e5441b8cf515f9f8abfe0,38.0,493.0,100.0,70.166664,64.0,81.333336,70.0,UNRANK,1550.0,UNRANK,1718.0,2012-11-10,3.0,1
179879ae0cf5c184af64bab0f0749930,39.0,284.0,58.333332,62.166668,68.0,100.0,67.666664,MASTER I,2450.0,MASTER II,2726.0,2008-02-27,3.0,1
29cfc86dab1c4680759c313ec902b391,40.0,60.0,50.0,51.333332,48.666668,57.0,50.0,GRAND MASTER I,3067.0,MASTER III,2999.0,2012-03-11,3.0,1
b4e0181bbb6b7cdc8cabef599b6cbe22,41.0,329.0,100.0,64.833328,67.333336,82.333336,76.0,GOLD III,2221.0,GOLD I,1983.0,2017-08-10,3.0,1
b7f9fe7314d5322b7db588ee6319da1f,41.0,118.0,60.869564,58.736061,60.176991,69.696968,50.0,UNRANK,1400.0,UNRANK,1400.0,2005-12-31,2.0,1
e05575c8814953055ebc988160718211,43.0,182.0,58.333332,57.0,54.237289,68.666664,58.558559,MASTER I,2599.0,GOLD II,2152.0,2012-07-04,3.0,1
9f038c1ff07cbc6414e976fffbb154ef,44.0,6342.0,48.333332,57.5,59.666668,68.666664,60.666668,GOLD III,2399.0,UNRANK,2000.0,2012-02-24,3.0,1
531a427051aef493c2560eff1afe91cf,44.0,231.0,48.333332,56.333332,56.0,69.666664,51.219513,GOLD III,2375.0,MASTER II,2617.0,2012-12-16,3.0,1
8305224838a1c14f6837270527050c16,45.0,3772.0,78.333336,57.833332,56.333332,66.333336,64.0,UNRANK,2250.0,UNRANK,2250.0,2012-01-17,3.0,1
2ed5e828450f875917887a085c84d918,47.0,355.0,100.0,78.0,82.333336,96.0,59.0,UNRANK,2350.0,UNRANK,2350.0,2005-11-05,3.0,1
