grade_ranking,season_grade_ranking,ouid
1.0,7.0,9b2852e25a85deebc5ce4173b1ccc1e6
2.0,12.0,18e17412f97995c818b669bf4052a753
3.0,320.0,1dde487186c06c2f54e65484219d1d09
4.0,8.0,bc0a86cc5d24182a2e09a2d29644e205
3.0,79790.0,5d84519cf2b0e9c3d69ec23a4a859e12
6.0,9.0,332522192aed72ca90aaa95d90e1b08d
7.0,123591.0,273812858150a28424d56f440a5b1499
8.0,2371.0,7fab3087eda49357ee067c51b8f8b3eb
9.0,4090.0,fb59b9ebe43ffd9d6b8b5aa9e33b97b3
10.0,130.0,b54f2c11425549c9a0309f8f8876dfd1
11.0,35.0,5b73ce7ccce4e2aa1966c49c83780b47
12.0,29.0,580ef4be741c2746e671fdf05205e546
11.0,9466.0,63bbb405e661019a480b7c0648e84590
14.0,84.0,502bf3d1c519055efd7b4e7313ccefbe
15.0,7657.0,f093eae67469de7498e7b3bd3de80713
15.0,41.0,c48ec5e498103c87505a145734df2f4d
17.0,4750.0,ca080f89fd0f8978f867f2799572d1a6
18.0,72.0,be8178231c717712201d9191605362ab
19.0,57.0,e570c51ad87baaab53dce767c701c3d3
20.0,2153.0,5ae9a0aba72b7bdbfff9cf7b1ab12079
21.0,3061.0,2203c145161ac614f582061d62c5748e
22.0,397.0,5108872b4333bb22a48517638cd4fbed
23.0,80.0,5deaa01e89f395a90815102bd8137fb7
24.0,1109.0,e26863167555673a1b52bff349a9893d
25.0,235.0,b93f28b48b7637450e70fab96a4498da
27.0,10070.0,a1c13bf09c5566436919baefd49038e8
28.0,13.0,0ed71d04383bd12216b14b614d4a41f2
28.0,12880.0,1fa1b70d5b3de816520ba1a99e485191
29.0,439.0,096a3023fe20810eca6aee054c84f357
31.0,350.0,e8105bc04e4a48451d1ef5b73bf7cb02
33.0,757.0,642e49d62b7644ad7f9987aa1980e51b
34.0,44.0,f636440af24b8e6e095e307046fd738a
36.0,855.0,93e261a22fb8c6651a418d580373708d
37.0,2727.0,0632880a7c4e164b272fac72b73aef0f
38.0,493.0,e0fd923c800e5441b8cf515f9f8abfe0
