recent_win_rate,recent_kill_death_rate,recent_assault_rate,recent_sniper_rate,recent_special_rate,ouid
83.333328,56.310677,59.523808,60.0,76.470589,9b2852e25a85deebc5ce4173b1ccc1e6
90.0,66.5,71.0,77.333336,67.666664,18e17412f97995c818b669bf4052a753
100.0,56.0,51.333332,67.333336,55.333332,1dde487186c06c2f54e65484219d1d09
48.333332,49.833332,50.333332,60.0,49.333332,bc0a86cc5d24182a2e09a2d29644e205
,,,,,5d84519cf2b0e9c3d69ec23a4a859e12
91.666672,61.5,61.333336,60.714287,59.666668,332522192aed72ca90aaa95d90e1b08d
50.0,52.333332,48.591549,64.333336,57.666668,273812858150a28424d56f440a5b1499
91.666672,58.0,57.333332,77.666664,66.333336,7fab3087eda49357ee067c51b8f8b3eb
100.0,65.666672,64.0,78.333336,64.666664,fb59b9ebe43ffd9d6b8b5aa9e33b97b3
53.333336,56.0,53.666668,74.0,51.333332,b54f2c11425549c9a0309f8f8876dfd1
46.666668,59.166664,56.0,71.0,62.333332,5b73ce7ccce4e2aa1966c49c83780b47
95.0,62.166668,61.333336,79.333336,58.333332,580ef4be741c2746e671fdf05205e546
0.0,60.000004,0.0,75.0,0.0,63bbb405e661019a480b7c0648e84590
98.333336,58.499996,72.0,100.0,55.333332,502bf3d1c519055efd7b4e7313ccefbe
65.0,54.833336,50.666664,70.0,46.938774,f093eae67469de7498e7b3bd3de80713
100.0,71.666664,75.0,85.333336,74.333336,c48ec5e498103c87505a145734df2f4d
100.0,54.666668,50.666668,51.333332,48.0,ca080f89fd0f8978f867f2799572d1a6
90.0,60.166668,58.666664,71.0,58.0,be8178231c717712201d9191605362ab
53.333336,55.5,57.0,66.0,53.333332,e570c51ad87baaab53dce767c701c3d3
51.666664,34.833332,34.0,60.0,41.666668,5ae9a0aba72b7bdbfff9cf7b1ab12079
87.5,56.333332,52.333332,0.0,52.0,2203c145161ac614f582061d62c5748e
100.0,66.333336,67.666664,73.666664,61.666668,5108872b4333bb22a48517638cd4fbed
33.333332,65.789474,0.0,69.444443,0.0,5deaa01e89f395a90815102bd8137fb7
60.000004,58.0,61.666668,74.666664,50.666668,e26863167555673a1b52bff349a9893d
53.333336,54.212456,44.444447,63.967613,68.181816,b93f28b48b7637450e70fab96a4498da
50.0,55.166668,48.666668,75.0,46.666668,a1c13bf09c5566436919baefd49038e8
91.666672,51.666664,40.666668,46.0,48.333332,0ed71d04383bd12216b14b614d4a41f2
50.0,58.666664,57.0,70.0,51.0,1fa1b70d5b3de816520ba1a99e485191
65.0,55.5,55.333336,64.0,57.599998,096a3023fe20810eca6aee054c84f357
41.666664,48.166664,53.731346,48.360657,46.0,e8105bc04e4a48451d1ef5b73bf7cb02
71.666664,52.666664,52.999996,64.666664,36.666668,642e49d62b7644ad7f9987aa1980e51b
48.333332,56.5,65.333336,54.333332,55.666668,f636440af24b8e6e095e307046fd738a
55.0,49.833332,48.0,61.333332,55.0,93e261a22fb8c6651a418d580373708d
43.333332,57.5,64.0,68.0,55.714287,0632880a7c4e164b272fac72b73aef0f
100.0,70.166664,64.0,81.333336,70.0,e0fd923c800e5441b8cf515f9f8abfe0
58.333332,62.166668,68.0,100.0,67.666664,179879ae0cf5c184af64bab0f0749930
50.0,51.333332,48.666668,57.0,50.0,29cfc86dab1c4680759c313ec902b391
100.0,64.833328,67.333336,82.333336,76.0,b4e0181bbb6b7cdc8cabef599b6cbe22
60.869564,58.736061,60.176991,69.696968,50.0,b7f9fe7314d5322b7db588ee6319da1f
58.333332,57.0,54.237289,68.666664,58.558559,e05575c8814953055ebc988160718211
48.333332,57.5,59.666668,68.666664,60.666668,9f038c1ff07cbc6414e976fffbb154ef
48.333332,56.333332,56.0,69.666664,51.219513,531a427051aef493c2560eff1afe91cf
78.333336,57.833332,56.333332,66.333336,64.0,8305224838a1c14f6837270527050c16
100.0,78.0,82.333336,96.0,59.0,2ed5e828450f875917887a085c84d918
50.0,56.166668,56.0,67.0,51.0,8d5612676718a14fade04f2cb91561c0
100.0,85.333336,75.0,99.666664,73.666664,648fbbc694e660a33b8cef0cbae3f1d9
51.666664,53.500004,55.333332,64.983162,50.0,12ae316087ba4a9e3ea486120d61efe7
100.0,61.666668,64.666664,71.333336,57.666668,27717da7b2d71df52896180856ccbea8
60.000004,54.000004,0.0,61.333332,50.0,55f3c861f0b35e0633e647c476cb795e
96.666664,61.5,65.333328,74.666664,67.0,99bf573152209e7f1cdf6db6bedc772f
100.0,76.333336,88.666664,83.666664,90.666664,6d5edf92a4ea7f3d18c806c00a3c9593
100.0,75.666664,86.0,96.333336,80.0,0d9807ab206e5a2172f57ec9f50bea98
100.0,64.833328,68.666664,72.666664,74.333336,dc0559231f37697e31549b40fd7de706
50.0,49.833332,50.495052,56.666668,43.548386,284876168e1a9d0eda99ab4b771b5286
55.0,60.5,60.666668,77.666664,63.333332,1baf251696168578cce1d408fa8e4f55
91.666672,76.166664,76.642334,0.0,62.626263,834284fa6e7cf65914a7cde283a21b08
35.0,40.833332,40.333332,36.666668,38.666668,82235398864c70779300daea913744d3
51.666668,57.0,58.333332,68.0,58.333332,52c7326c888b04902d01f399fb912a14
50.0,55.0,52.999996,67.0,57.333332,cfd88abbcc74eb55941d6723fb95dca8
100.0,56.0,33.333332,42.424244,52.666668,38906987f54adc55e11fb32f4ea76cf2
93.333336,72.333336,69.0,89.666664,70.0,d7369b912c3b1bbbbef83a1f2cd3b28d
48.333332,44.166668,45.333336,54.333332,36.666668,72ae7ade509d482f7b5aef7450ea073e
50.0,54.166668,32.0,33.333332,51.666668,4b72c0667ec35b31a29fbcf957fe9570
0.0,80.0,0.0,100.0,0.0,593d755a6bb13d9838ac833d32f7fce2
78.333336,61.333332,65.0,72.666664,60.666668,ab52d88c8fe807829a92e597cb96e841
