match_id,match_type,match_mode,date_match,match_result,kill,death,assist,ouid
250727032040125001,클랜 랭크전,폭파미션,2025-07-26T18:20:40.715Z,1,2.0,4.0,1.0,9b2852e25a85deebc5ce4173b1ccc1e6
250727031319125001,클랜 랭크전,폭파미션,2025-07-26T18:13:19.182Z,1,4.0,5.0,2.0,9b2852e25a85deebc5ce4173b1ccc1e6
250727030118119001,클랜 랭크전,폭파미션,2025-07-26T18:01:18.659Z,2,6.0,7.0,0.0,9b2852e25a85deebc5ce4173b1ccc1e6
250727024456125001,클랜 랭크전,폭파미션,2025-07-26T17:44:56.229Z,1,5.0,6.0,1.0,9b2852e25a85deebc5ce4173b1ccc1e6
250727023701125001,클랜 랭크전,폭파미션,2025-07-26T17:37:01.754Z,2,6.0,5.0,1.0,9b2852e25a85deebc5ce4173b1ccc1e6
250727022243125001,클랜 랭크전,폭파미션,2025-07-26T17:22:43.718Z,1,10.0,5.0,0.0,9b2852e25a85deebc5ce4173b1ccc1e6
250719153551119001,클랜 랭크전,폭파미션,2025-07-19T06:35:51.444Z,1,2.0,1.0,0.0,9b2852e25a85deebc5ce4173b1ccc1e6
250615222409125001,클랜 랭크전,폭파미션,2025-06-15T13:24:09.601Z,1,5.0,3.0,1.0,9b2852e25a85deebc5ce4173b1ccc1e6
250614000055119001,클랜 랭크전,폭파미션,2025-06-13T15:00:55.060Z,1,5.0,6.0,0.0,9b2852e25a85deebc5ce4173b1ccc1e6
250613235221125002,클랜 랭크전,폭파미션,2025-06-13T14:52:21.893Z,2,10.0,5.0,0.0,9b2852e25a85deebc5ce4173b1ccc1e6
250613234146125001,클랜 랭크전,폭파미션,2025-06-13T14:41:46.170Z,1,9.0,5.0,2.0,9b2852e25a85deebc5ce4173b1ccc1e6
250525222703125001,클랜 랭크전,폭파미션,2025-05-25T13:27:03.578Z,1,7.0,2.0,2.0,9b2852e25a85deebc5ce4173b1ccc1e6
250507205348125001,클랜 랭크전,폭파미션,2025-05-07T11:53:48.499Z,1,7.0,5.0,2.0,9b2852e25a85deebc5ce4173b1ccc1e6
250507204513119001,클랜 랭크전,폭파미션,2025-05-07T11:45:13.129Z,1,1.0,3.0,0.0,9b2852e25a85deebc5ce4173b1ccc1e6
250507203707125001,클랜 랭크전,폭파미션,2025-05-07T11:37:07.438Z,1,6.0,3.0,1.0,9b2852e25a85deebc5ce4173b1ccc1e6
250507202650119001,클랜 랭크전,폭파미션,2025-05-07T11:26:50.384Z,2,2.0,6.0,3.0,9b2852e25a85deebc5ce4173b1ccc1e6
250507201521119001,클랜 랭크전,폭파미션,2025-05-07T11:15:21.924Z,1,8.0,7.0,6.0,9b2852e25a85deebc5ce4173b1ccc1e6
250507200114125001,클랜 랭크전,폭파미션,2025-05-07T11:01:14.910Z,1,4.0,9.0,7.0,9b2852e25a85deebc5ce4173b1ccc1e6
250507195239119001,클랜 랭크전,폭파미션,2025-05-07T10:52:39.559Z,1,9.0,2.0,2.0,9b2852e25a85deebc5ce4173b1ccc1e6
250505164859119001,클랜 랭크전,폭파미션,2025-05-05T07:48:59.147Z,1,2.0,5.0,1.0,9b2852e25a85deebc5ce4173b1ccc1e6
250502203650125001,클랜 랭크전,폭파미션,2025-05-02T11:36:50.622Z,2,6.0,6.0,1.0,9b2852e25a85deebc5ce4173b1ccc1e6
250502130517119001,클랜 랭크전,폭파미션,2025-05-02T04:05:17.039Z,1,4.0,5.0,3.0,9b2852e25a85deebc5ce4173b1ccc1e6
250413200225119001,클랜 랭크전,폭파미션,2025-04-13T11:02:25.396Z,2,7.0,7.0,4.0,9b2852e25a85deebc5ce4173b1ccc1e6
250413195719125001,클랜 랭크전,폭파미션,2025-04-13T10:57:19.716Z,1,5.0,3.0,6.0,9b2852e25a85deebc5ce4173b1ccc1e6
250413194010119001,클랜 랭크전,폭파미션,2025-04-13T10:40:10.095Z,2,6.0,8.0,1.0,9b2852e25a85deebc5ce4173b1ccc1e6
250413193112119001,클랜 랭크전,폭파미션,2025-04-13T10:31:12.500Z,2,9.0,6.0,2.0,9b2852e25a85deebc5ce4173b1ccc1e6
250413192533125001,클랜 랭크전,폭파미션,2025-04-13T10:25:33.933Z,1,7.0,1.0,2.0,9b2852e25a85deebc5ce4173b1ccc1e6
250413000029119001,클랜 랭크전,폭파미션,2025-04-12T15:00:29.371Z,2,13.0,5.0,1.0,9b2852e25a85deebc5ce4173b1ccc1e6
250412234838119001,클랜 랭크전,폭파미션,2025-04-12T14:48:38.728Z,1,7.0,7.0,2.0,9b2852e25a85deebc5ce4173b1ccc1e6
250412233640119001,클랜 랭크전,폭파미션,2025-04-12T14:36:40.518Z,2,7.0,6.0,2.0,9b2852e25a85deebc5ce4173b1ccc1e6
250412232233125001,클랜 랭크전,폭파미션,2025-04-12T14:22:33.187Z,1,5.0,2.0,4.0,9b2852e25a85deebc5ce4173b1ccc1e6
250412230836125001,클랜 랭크전,폭파미션,2025-04-12T14:08:36.310Z,1,5.0,3.0,1.0,9b2852e25a85deebc5ce4173b1ccc1e6
250412225910125001,클랜 랭크전,폭파미션,2025-04-12T13:59:10.378Z,1,5.0,7.0,5.0,9b2852e25a85deebc5ce4173b1ccc1e6
250412224512125001,클랜 랭크전,폭파미션,2025-04-12T13:45:12.613Z,1,3.0,6.0,2.0,9b2852e25a85deebc5ce4173b1ccc1e6
250412223730119001,클랜 랭크전,폭파미션,2025-04-12T13:37:30.646Z,1,2.0,3.0,0.0,9b2852e25a85deebc5ce4173b1ccc1e6
250412222050125001,클랜 랭크전,폭파미션,2025-04-12T13:20:50.069Z,1,3.0,6.0,2.0,9b2852e25a85deebc5ce4173b1ccc1e6
250412221226119001,클랜 랭크전,폭파미션,2025-04-12T13:12:26.612Z,1,3.0,5.0,1.0,9b2852e25a85deebc5ce4173b1ccc1e6
250412220642119001,클랜 랭크전,폭파미션,2025-04-12T13:06:42.197Z,1,3.0,1.0,0.0,9b2852e25a85deebc5ce4173b1ccc1e6
250412215625119001,클랜 랭크전,폭파미션,2025-04-12T12:56:25.382Z,1,6.0,8.0,3.0,9b2852e25a85deebc5ce4173b1ccc1e6
250412214706119001,클랜 랭크전,폭파미션,2025-04-12T12:47:06.348Z,1,1.0,4.0,1.0,9b2852e25a85deebc5ce4173b1ccc1e6
250412213736125001,클랜 랭크전,폭파미션,2025-04-12T12:37:36.177Z,2,3.0,5.0,1.0,9b2852e25a85deebc5ce4173b1ccc1e6
250412193242119001,클랜 랭크전,폭파미션,2025-04-12T10:32:42.753Z,2,2.0,6.0,1.0,9b2852e25a85deebc5ce4173b1ccc1e6
250726143902125001,클랜 랭크전,폭파미션,2025-07-26T05:39:02.254Z,1,6.0,4.0,3.0,18e17412f97995c818b669bf4052a753
250726114012125001,클랜 랭크전,폭파미션,2025-07-26T02:40:12.045Z,2,4.0,4.0,1.0,18e17412f97995c818b669bf4052a753
250721224048125001,클랜 랭크전,폭파미션,2025-07-21T13:40:48.939Z,1,4.0,5.0,1.0,18e17412f97995c818b669bf4052a753
250721222227119001,클랜 랭크전,폭파미션,2025-07-21T13:22:27.866Z,2,8.0,8.0,2.0,18e17412f97995c818b669bf4052a753
250721221305119001,클랜 랭크전,폭파미션,2025-07-21T13:13:05.174Z,1,6.0,2.0,4.0,18e17412f97995c818b669bf4052a753
250721220418125001,클랜 랭크전,폭파미션,2025-07-21T13:04:18.168Z,1,3.0,3.0,2.0,18e17412f97995c818b669bf4052a753
250721215151119001,클랜 랭크전,폭파미션,2025-07-21T12:51:51.076Z,2,7.0,6.0,2.0,18e17412f97995c818b669bf4052a753
250721214149125001,클랜 랭크전,폭파미션,2025-07-21T12:41:49.510Z,2,9.0,5.0,0.0,18e17412f97995c818b669bf4052a753
250721212837119001,클랜 랭크전,폭파미션,2025-07-21T12:28:37.417Z,2,3.0,6.0,0.0,18e17412f97995c818b669bf4052a753
250721211122125001,클랜 랭크전,폭파미션,2025-07-21T12:11:22.868Z,2,10.0,7.0,4.0,18e17412f97995c818b669bf4052a753
250721205619125001,클랜 랭크전,폭파미션,2025-07-21T11:56:19.790Z,1,2.0,6.0,4.0,18e17412f97995c818b669bf4052a753
250721203834119001,클랜 랭크전,폭파미션,2025-07-21T11:38:34.634Z,2,2.0,4.0,2.0,18e17412f97995c818b669bf4052a753
250719203558125001,클랜 랭크전,폭파미션,2025-07-19T11:35:58.403Z,1,9.0,5.0,2.0,18e17412f97995c818b669bf4052a753
250719134544125001,클랜 랭크전,폭파미션,2025-07-19T04:45:44.027Z,1,15.0,3.0,1.0,18e17412f97995c818b669bf4052a753
250717215547125001,클랜 랭크전,폭파미션,2025-07-17T12:55:47.359Z,1,10.0,9.0,8.0,18e17412f97995c818b669bf4052a753
250714204445119001,클랜 랭크전,폭파미션,2025-07-14T11:44:45.197Z,2,2.0,7.0,2.0,18e17412f97995c818b669bf4052a753
250713201307125001,클랜 랭크전,폭파미션,2025-07-13T11:13:07.850Z,1,4.0,3.0,2.0,18e17412f97995c818b669bf4052a753
250713200312119001,클랜 랭크전,폭파미션,2025-07-13T11:03:12.615Z,1,5.0,7.0,3.0,18e17412f97995c818b669bf4052a753
250713194850125001,클랜 랭크전,폭파미션,2025-07-13T10:48:50.525Z,2,1.0,7.0,1.0,18e17412f97995c818b669bf4052a753
250713194205119001,클랜 랭크전,폭파미션,2025-07-13T10:42:05.468Z,1,6.0,1.0,0.0,18e17412f97995c818b669bf4052a753
250713174714119001,클랜 랭크전,폭파미션,2025-07-13T08:47:14.651Z,2,2.0,8.0,2.0,18e17412f97995c818b669bf4052a753
250713173257119001,클랜 랭크전,폭파미션,2025-07-13T08:32:57.192Z,1,3.0,8.0,4.0,18e17412f97995c818b669bf4052a753
250713172545125001,클랜 랭크전,폭파미션,2025-07-13T08:25:45.280Z,2,2.0,4.0,0.0,18e17412f97995c818b669bf4052a753
250713170944119001,클랜 랭크전,폭파미션,2025-07-13T08:09:44.103Z,2,0.0,4.0,1.0,18e17412f97995c818b669bf4052a753
250708192327119001,클랜 랭크전,폭파미션,2025-07-08T10:23:27.297Z,2,5.0,8.0,2.0,18e17412f97995c818b669bf4052a753
250708191632119001,클랜 랭크전,폭파미션,2025-07-08T10:16:32.109Z,2,1.0,5.0,3.0,18e17412f97995c818b669bf4052a753
250705224901125001,클랜 랭크전,폭파미션,2025-07-05T13:49:01.855Z,1,3.0,6.0,1.0,18e17412f97995c818b669bf4052a753
250705223501125001,클랜 랭크전,폭파미션,2025-07-05T13:35:01.978Z,1,7.0,6.0,5.0,18e17412f97995c818b669bf4052a753
250705222536125001,클랜 랭크전,폭파미션,2025-07-05T13:25:36.968Z,2,4.0,5.0,0.0,18e17412f97995c818b669bf4052a753
250705221005125001,클랜 랭크전,폭파미션,2025-07-05T13:10:05.100Z,1,8.0,7.0,1.0,18e17412f97995c818b669bf4052a753
250705215611125001,클랜 랭크전,폭파미션,2025-07-05T12:56:11.462Z,1,13.0,7.0,4.0,18e17412f97995c818b669bf4052a753
250705213918119001,클랜 랭크전,폭파미션,2025-07-05T12:39:18.867Z,1,8.0,5.0,2.0,18e17412f97995c818b669bf4052a753
250705202654125001,클랜 랭크전,폭파미션,2025-07-05T11:26:54.323Z,1,10.0,4.0,4.0,18e17412f97995c818b669bf4052a753
250705201336119001,클랜 랭크전,폭파미션,2025-07-05T11:13:36.585Z,2,3.0,7.0,4.0,18e17412f97995c818b669bf4052a753
250705200515125001,클랜 랭크전,폭파미션,2025-07-05T11:05:15.715Z,1,5.0,4.0,2.0,18e17412f97995c818b669bf4052a753
250705195240125001,클랜 랭크전,폭파미션,2025-07-05T10:52:40.719Z,1,9.0,6.0,5.0,18e17412f97995c818b669bf4052a753
250629202658119001,클랜 랭크전,폭파미션,2025-06-29T11:26:58.178Z,1,8.0,1.0,0.0,18e17412f97995c818b669bf4052a753
250629135606125001,클랜 랭크전,폭파미션,2025-06-29T04:56:06.488Z,2,8.0,6.0,2.0,18e17412f97995c818b669bf4052a753
250629134245125001,클랜 랭크전,폭파미션,2025-06-29T04:42:45.061Z,1,2.0,4.0,2.0,18e17412f97995c818b669bf4052a753
250626210230119001,클랜 랭크전,폭파미션,2025-06-26T12:02:30.934Z,1,6.0,5.0,5.0,18e17412f97995c818b669bf4052a753
250625155114125001,클랜 랭크전,폭파미션,2025-06-25T06:51:14.686Z,1,0.0,1.0,0.0,18e17412f97995c818b669bf4052a753
250621193635125001,클랜 랭크전,폭파미션,2025-06-21T10:36:35.395Z,1,5.0,7.0,1.0,18e17412f97995c818b669bf4052a753
250617224326125001,클랜 랭크전,폭파미션,2025-06-17T13:43:26.201Z,2,1.0,4.0,0.0,18e17412f97995c818b669bf4052a753
250610201708119001,클랜 랭크전,폭파미션,2025-06-10T11:17:08.097Z,1,4.0,5.0,2.0,18e17412f97995c818b669bf4052a753
250603210547125001,클랜 랭크전,폭파미션,2025-06-03T12:05:47.063Z,1,3.0,2.0,0.0,18e17412f97995c818b669bf4052a753
250603103823119001,클랜 랭크전,폭파미션,2025-06-03T01:38:23.365Z,2,12.0,8.0,2.0,18e17412f97995c818b669bf4052a753
250601215458125001,클랜 랭크전,폭파미션,2025-06-01T12:54:58.284Z,2,7.0,7.0,3.0,18e17412f97995c818b669bf4052a753
250526214430119001,클랜 랭크전,폭파미션,2025-05-26T12:44:30.843Z,2,7.0,7.0,1.0,18e17412f97995c818b669bf4052a753
250524202624119001,클랜 랭크전,폭파미션,2025-05-24T11:26:24.796Z,2,3.0,8.0,3.0,18e17412f97995c818b669bf4052a753
250523171003125001,클랜 랭크전,폭파미션,2025-05-23T08:10:03.582Z,1,11.0,5.0,1.0,18e17412f97995c818b669bf4052a753
250521191647125001,클랜 랭크전,폭파미션,2025-05-21T10:16:47.079Z,1,5.0,2.0,1.0,18e17412f97995c818b669bf4052a753
250521191117125001,클랜 랭크전,폭파미션,2025-05-21T10:11:17.853Z,1,4.0,3.0,2.0,18e17412f97995c818b669bf4052a753
250521190228125001,클랜 랭크전,폭파미션,2025-05-21T10:02:28.055Z,2,1.0,4.0,2.0,18e17412f97995c818b669bf4052a753
250518003745119001,클랜 랭크전,폭파미션,2025-05-17T15:37:45.195Z,2,5.0,6.0,1.0,18e17412f97995c818b669bf4052a753
250516141743119001,클랜 랭크전,폭파미션,2025-05-16T05:17:43.163Z,1,11.0,8.0,2.0,18e17412f97995c818b669bf4052a753
250516140401119001,클랜 랭크전,폭파미션,2025-05-16T05:04:01.548Z,2,3.0,7.0,3.0,18e17412f97995c818b669bf4052a753
250514201121125001,클랜 랭크전,폭파미션,2025-05-14T11:11:21.976Z,1,4.0,6.0,3.0,18e17412f97995c818b669bf4052a753
250514190847119001,클랜 랭크전,폭파미션,2025-05-14T10:08:47.040Z,2,2.0,7.0,5.0,18e17412f97995c818b669bf4052a753
250514190236119001,클랜 랭크전,폭파미션,2025-05-14T10:02:36.676Z,1,7.0,1.0,2.0,18e17412f97995c818b669bf4052a753
250509211310125001,클랜 랭크전,폭파미션,2025-05-09T12:13:10.262Z,2,2.0,5.0,0.0,18e17412f97995c818b669bf4052a753
250509162530119001,클랜 랭크전,폭파미션,2025-05-09T07:25:30.821Z,1,6.0,7.0,3.0,18e17412f97995c818b669bf4052a753
250504180013125001,클랜 랭크전,폭파미션,2025-05-04T09:00:13.249Z,2,7.0,5.0,0.0,18e17412f97995c818b669bf4052a753
250503214744125001,클랜 랭크전,폭파미션,2025-05-03T12:47:44.374Z,2,9.0,7.0,2.0,18e17412f97995c818b669bf4052a753
250502173153125001,클랜 랭크전,폭파미션,2025-05-02T08:31:53.021Z,1,5.0,0.0,0.0,18e17412f97995c818b669bf4052a753
250501215839119001,클랜 랭크전,폭파미션,2025-05-01T12:58:39.242Z,2,4.0,6.0,2.0,18e17412f97995c818b669bf4052a753
250501214026125001,클랜 랭크전,폭파미션,2025-05-01T12:40:26.457Z,1,6.0,7.0,4.0,18e17412f97995c818b669bf4052a753
250501212629119001,클랜 랭크전,폭파미션,2025-05-01T12:26:29.955Z,2,5.0,7.0,5.0,18e17412f97995c818b669bf4052a753
