user_name,grade,grade_exp,grade_ranking,season_grade,season_grade_exp,season_grade_ranking,ouid
연주핑.,대원수,2110678003.0,1.0,총사령관,350524746.0,7.0,9b2852e25a85deebc5ce4173b1ccc1e6
19,원수,1940825937.0,2.0,사령관,321896461.0,12.0,18e17412f97995c818b669bf4052a753
상추들고튀어,원수,1818514501.0,3.0,부사령관,165110645.0,320.0,1dde487186c06c2f54e65484219d1d09
사자,원수,1744758115.0,4.0,총사령관,343035345.0,8.0,bc0a86cc5d24182a2e09a2d29644e205
폭력,원수,1632609710.0,3.0,특급준장,10814347.0,79790.0,5d84519cf2b0e9c3d69ec23a4a859e12
보상,원수,1547838663.0,6.0,총사령관,332545678.0,9.0,332522192aed72ca90aaa95d90e1b08d
지은,원수,1541539342.0,7.0,특급소장,14663975.0,123591.0,273812858150a28424d56f440a5b1499
청주형섭둥이,원수,1525729994.0,8.0,특급대장,85871188.0,2371.0,7fab3087eda49357ee067c51b8f8b3eb
Oneːcherry,원수,1484575341.0,9.0,특급대장,71069978.0,4090.0,fb59b9ebe43ffd9d6b8b5aa9e33b97b3
더건,원수,1472303408.0,10.0,부사령관,208588882.0,130.0,b54f2c11425549c9a0309f8f8876dfd1
벚꽃,원수,1448671212.0,11.0,사령관,267575663.0,35.0,5b73ce7ccce4e2aa1966c49c83780b47
파랑,원수,1441921417.0,12.0,사령관,271483047.0,29.0,580ef4be741c2746e671fdf05205e546
셰익스피어,원수,1439372103.0,11.0,특급대장,51836438.0,9466.0,63bbb405e661019a480b7c0648e84590
뎅뎅히,원수,1444069566.0,14.0,사령관,243214923.0,84.0,502bf3d1c519055efd7b4e7313ccefbe
solo,원수,1401657980.0,15.0,특급대장,57232701.0,7657.0,f093eae67469de7498e7b3bd3de80713
FANTASTlC,원수,1402031963.0,15.0,사령관,261630790.0,41.0,c48ec5e498103c87505a145734df2f4d
곰도링~,원수,1389572859.0,17.0,특급대장,67703931.0,4750.0,ca080f89fd0f8978f867f2799572d1a6
skip,원수,1379212377.0,18.0,사령관,238494604.0,72.0,be8178231c717712201d9191605362ab
콩씨7,원수,1372483720.0,19.0,사령관,254606300.0,57.0,e570c51ad87baaab53dce767c701c3d3
