user_name,solo_rank_match_tier,solo_rank_match_score,party_rank_match_tier,party_rank_match_score,ouid
연주핑.,RANKER,3902.0,MASTER III,2905.0,9b2852e25a85deebc5ce4173b1ccc1e6
19,MASTER III,2888.0,GRAND MASTER II,3333.0,18e17412f97995c818b669bf4052a753
상추,UNRANK,1950.0,MASTER II,2634.0,1dde487186c06c2f54e65484219d1d09
사자,LEGEND,3707.0,MASTER I,2529.0,bc0a86cc5d24182a2e09a2d29644e205
폭력,UNRANK,1500.0,UNRANK,1500.0,5d84519cf2b0e9c3d69ec23a4a859e12
보상,GOLD III,2399.0,GOLD I,1875.0,332522192aed72ca90aaa95d90e1b08d
지은,GOLD II,2124.0,GOLD I,1946.0,273812858150a28424d56f440a5b1499
먀오먀오,GRAND MASTER I,3122.0,MASTER III,2992.0,7fab3087eda49357ee067c51b8f8b3eb
Oneːcherry,MASTER III,2946.0,MASTER II,2712.0,fb59b9ebe43ffd9d6b8b5aa9e33b97b3
더건,UNRANK,1400.0,SILVER III,1778.0,b54f2c11425549c9a0309f8f8876dfd1
벚꽃,UNRANK,2400.0,MASTER III,2972.0,5b73ce7ccce4e2aa1966c49c83780b47
파랑,UNRANK,2520.0,LEGEND,3673.0,580ef4be741c2746e671fdf05205e546
셰익스피어,UNRANK,2350.0,UNRANK,2350.0,63bbb405e661019a480b7c0648e84590
뎅뎅히,GOLD I,1818.0,UNRANK,1550.0,502bf3d1c519055efd7b4e7313ccefbe
solo,MASTER I,2428.0,UNRANK,1800.0,f093eae67469de7498e7b3bd3de80713
FANTASTlC,GOLD III,2273.0,MASTER I,2497.0,c48ec5e498103c87505a145734df2f4d
곰도링~,UNRANK,1500.0,GOLD II,2143.0,ca080f89fd0f8978f867f2799572d1a6
skip,GOLD I,1904.0,GOLD III,2288.0,be8178231c717712201d9191605362ab
콩씨7,UNRANK,2400.0,GRAND MASTER II,3250.0,e570c51ad87baaab53dce767c701c3d3
바람,UNRANK,1550.0,UNRANK,1550.0,5ae9a0aba72b7bdbfff9cf7b1ab12079
아리,GOLD III,2369.0,MASTER I,2487.0,2203c145161ac614f582061d62c5748e
료마,UNRANK,1400.0,UNRANK,1400.0,5108872b4333bb22a48517638cd4fbed
신각,GOLD I,1871.0,GOLD III,2296.0,5deaa01e89f395a90815102bd8137fb7
저승,MASTER I,2574.0,GRAND MASTER II,3201.0,e26863167555673a1b52bff349a9893d
lxve,UNRANK,2250.0,GRAND MASTER I,3123.0,b93f28b48b7637450e70fab96a4498da
핑크,GOLD III,2381.0,GOLD II,2199.0,a1c13bf09c5566436919baefd49038e8
웨어왕,MASTER I,2490.0,SILVER III,1763.0,0ed71d04383bd12216b14b614d4a41f2
페르비,MASTER I,2599.0,GOLD I,1933.0,1fa1b70d5b3de816520ba1a99e485191
댄스,UNRANK,2462.0,MASTER III,2958.0,096a3023fe20810eca6aee054c84f357
우든,MASTER I,2545.0,MASTER I,2575.0,e8105bc04e4a48451d1ef5b73bf7cb02
보건,MASTER I,2543.0,UNRANK,2311.0,642e49d62b7644ad7f9987aa1980e51b
ㅱㅱ,GOLD I,1999.0,GOLD I,1933.0,f636440af24b8e6e095e307046fd738a
안양,SILVER II,1479.0,GOLD I,1849.0,93e261a22fb8c6651a418d580373708d
zraI,GRAND MASTER I,3148.0,GRAND MASTER I,3072.0,0632880a7c4e164b272fac72b73aef0f
소은,UNRANK,1550.0,UNRANK,1718.0,e0fd923c800e5441b8cf515f9f8abfe0
꽃길,MASTER I,2450.0,MASTER II,2726.0,179879ae0cf5c184af64bab0f0749930
조감각,GRAND MASTER I,3067.0,MASTER III,2999.0,29cfc86dab1c4680759c313ec902b391
ShelleyCake,GOLD III,2221.0,GOLD I,1983.0,b4e0181bbb6b7cdc8cabef599b6cbe22
산이,UNRANK,1400.0,UNRANK,1400.0,b7f9fe7314d5322b7db588ee6319da1f
일루젼토마토,MASTER I,2599.0,GOLD II,2152.0,e05575c8814953055ebc988160718211
개돌용병,GOLD III,2399.0,UNRANK,2000.0,9f038c1ff07cbc6414e976fffbb154ef
곰인형,GOLD III,2375.0,MASTER II,2617.0,531a427051aef493c2560eff1afe91cf
병아리팔아요,UNRANK,2250.0,UNRANK,2250.0,8305224838a1c14f6837270527050c16
