user_name,grade_ranking,season_grade_ranking,recent_win_rate,recent_kill_death_rate,recent_assault_rate,recent_sniper_rate,recent_special_rate,solo_rank_match_score,party_rank_match_score,is_win,is_draw,is_loss,kill,death,assist,total_matches,match_id,match_result,team_id,target
긱스,2438.0,40866.0,81.666664,58.0,54.000004,72.666664,61.971832,1652,1999,1,0,0,1,1,1,1,250807010514124001,,,
위티,36592.0,43927.0,58.333332,53.500004,52.666664,63.333332,47.0,3961,2400,1,0,0,2,0,0,1,250807010514124001,,,
갱스터,1730.0,64078.0,65.0,54.000004,53.264606,69.333336,61.53846,1800,1800,1,0,0,1,0,1,1,250807010514124001,,,
흑인이싸면깜찍~,256419.0,57704.0,51.666664,54.000004,51.0,65.333336,50.0,3599,2631,1,0,0,1,0,0,1,250807010514124001,,,
허혜미,4082.0,53256.0,48.333332,46.833332,47.666664,56.666668,48.333332,2273,1800,1,0,0,0,0,2,1,250807010514124001,,,
랜딩,22589.0,42232.0,48.333332,51.833332,52.666664,66.333336,45.161289,2451,2516,0,0,1,10,12,5,1,250805171555124002,,,
1엄준식,5752102.0,1340913.0,27.586206,36.235294,35.483871,39.055794,0.0,1400,1400,0,0,1,6,15,2,1,250805171555124002,,,
이뚠딴,28162.0,14764.0,66.666672,53.46154,47.368423,62.5,50.0,1908,2123,1,0,0,11,8,2,1,250805171555124002,,,
봄겨울가을,79402.0,123795.0,58.333332,57.333332,53.815262,69.333336,62.0,1800,2364,1,0,0,18,10,4,1,250805171555124002,,,
황장군이야,6198853.0,8476329.0,3.333333,36.833336,38.666664,47.666668,39.285713,1400,1400,1,0,0,7,9,7,1,250805171555124002,,,
사자,4.0,7.0,78.333336,59.166664,55.666668,63.0,59.666668,3681,2799,1,0,0,13,5,2,1,250806194844124002,,,
전설,140.0,100.0,95.0,58.333332,57.0,71.333336,60.333332,2086,1960,1,0,0,14,1,0,1,250604230858124001,,,
신치,50013.0,21398.0,71.666664,34.166668,24.666668,58.100559,11.0,1350,1400,1,0,0,0,4,4,1,250604230858124001,,,
코코볼,4646.0,13606.0,100.0,64.666664,57.0,79.333336,67.0,1400,981,1,0,0,10,8,4,1,250729025420124001,,,
crazy,13071.0,10576.0,48.333332,52.999996,54.333332,62.0,54.0,2697,3399,1,0,0,12,7,1,1,250719011350125001,,,
은아가,227662.0,65936.0,50.0,40.833332,43.333332,39.666668,42.333332,2472,1600,1,0,0,3,9,2,1,250719011350125001,,,
isabel♡,83614.0,24182.0,46.666668,57.666664,60.000004,58.0,58.666668,4243,2500,1,0,0,12,7,2,1,250719011350125001,,,
Faker,117709.0,115875.0,51.666664,60.5,59.0,71.0,66.0,2500,2500,1,0,0,17,3,0,1,250719011350125001,,,
제트업,170961.0,2878.0,46.666668,46.0,46.666668,63.0,57.666668,2275,2132,1,0,0,8,7,5,1,250719011350125001,,,
레닝이,1390.0,8479.0,46.666668,55.0,52.0,68.674698,54.333332,1874,3026,1,0,0,6,0,0,1,250527162132124001,,,
타루,46.0,356.0,100.0,77.5,85.333336,96.0,56.333332,2350,2350,1,0,0,14,0,2,1,250527162132124001,,,
생수아저씨,559486.0,152524.0,53.333336,50.5,37.333332,60.666668,41.333332,1653,1350,0,0,1,12,11,2,1,250807145617124001,,,
생수아저씨,559486.0,152524.0,53.333336,50.5,37.333332,60.666668,41.333332,1653,1350,1,0,0,8,6,1,1,250807162422124001,,,
핏자국,74.0,1218.0,100.0,75.833336,28.571428,82.0,53.19149,1893,1400,1,0,0,17,5,2,1,250807145617124001,,,
M249Master,1372878.0,236029.0,45.0,45.333336,50.666668,51.094891,40.721649,1037,1400,0,0,1,8,11,0,1,250807145617124001,,,
민덩이달려,948038.0,301946.0,51.666664,37.333332,34.0,30.333334,32.333332,1400,1400,0,0,1,3,12,3,1,250807145617124001,,,
민덩이달려,948038.0,301946.0,51.666664,37.333332,34.0,30.333334,32.333332,1400,1400,1,0,0,3,5,3,1,250807162422124001,,,
SeulYUNA,4334653.0,467761.0,60.000004,43.51852,0.0,45.121952,0.0,1400,1400,1,0,0,9,11,0,1,250807145617124001,,,
가은잉♡,53854.0,100435.0,43.333332,43.0,40.333332,45.666668,42.857143,1192,1425,1,0,0,8,7,7,1,250807145617124001,,,
한번해,43.0,86.0,100.0,72.727272,0.0,80.0,0.0,2146,2035,1,0,0,8,3,0,1,250806185753124001,,,
몸믜,164860.0,532672.0,45.0,47.666664,40.0,62.0,48.333332,1762,1400,1,0,0,10,1,1,1,250806185753124001,,,
떕떞이,497908.0,594675.0,58.333332,43.5,36.333336,48.666668,51.923077,1430,1400,1,0,0,3,2,1,1,250806185753124001,,,
아포스뜨리,7213.0,22721.0,75.0,37.166668,40.666668,40.0,55.0,1750,1750,1,0,0,6,4,0,1,250806174548124001,,,
역삼동그깽,185541.0,141932.0,48.333332,43.666668,40.333332,43.157894,46.715328,1400,1400,0,0,1,3,9,2,1,250806174548124001,,,
히히,55.0,92.0,46.666668,48.833336,0.0,56.666668,80.0,2121,1800,0,0,1,4,8,1,1,250806174548124001,,,
엠빠,677.0,2098.0,63.333332,54.166668,48.333332,60.0,52.333332,1799,1550,1,0,0,9,8,2,1,250806174548124001,,,
회민,4788.0,19129.0,91.666672,64.166664,0.0,76.666664,0.0,1400,1400,1,0,0,9,4,3,1,250806174548124001,,,
2.14솔향18ST,8237.0,27101.0,50.0,53.587444,55.752213,65.765762,0.0,2316,1800,0,0,1,9,7,0,1,250806174548124001,,,
황숏,369014.0,701653.0,20.0,42.166664,40.666668,40.0,34.0,1400,1400,0,0,1,7,10,1,1,250731170558124001,,,
유뭉이,5744121.0,612946.0,46.666668,50.0,52.0,66.0,58.333332,1645,1296,0,0,1,5,13,1,1,250807163402124001,,,
Jodia,58430.0,15995.0,93.333336,57.333332,49.666668,67.333336,46.333332,1956,1498,1,0,0,12,10,1,1,250807163402124001,,,
lIlllIlIlIlllI,307329.0,190546.0,46.666668,52.999996,52.999996,70.0,56.333332,1400,1400,0,0,1,14,8,1,1,250807163402124001,,,
그사건,82.0,278.0,51.666664,47.166668,50.666664,66.0,51.666668,2586,2542,1,0,0,9,9,2,1,250807163402124001,,,
