mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5098405838012695,0.025848867966096,0.004539299011230469,0.00035361654673818425,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.7619047619047619,0.6923076923076923,0.7916666666666666,0.7307692307692307,0.7777777777777778,0.7508852258852259,0.035619506265874665,2,0.8292682926829268,0.864321608040201,0.8374384236453202,0.835820895522388,0.8442211055276382,0.8422140650836949,0.012033653295299953
0.5266024589538574,0.019007075867167354,0.005015373229980469,0.00031825803043609774,0.8,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.6666666666666666,0.7058823529411765,0.75,0.7307692307692307,0.7777777777777778,0.7262192056309703,0.03795947245634404,81,0.8415841584158416,0.8602150537634409,0.835820895522388,0.845771144278607,0.83,0.8426782503960555,0.01025732763583893
0.2411651611328125,0.2557999788881422,0.005412483215332031,0.0004951317934130525,0.8,0.01,3,150,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.8}",0.7,0.7058823529411765,0.782608695652174,0.7307692307692307,0.7777777777777778,0.7394076114280718,0.03490022280538667,13,0.8842105263157894,0.8736842105263158,0.8615384615384616,0.8484848484848485,0.8783068783068783,0.8692449850344588,0.012776273576002575
0.031272268295288085,0.0020692559185245324,0.005610466003417969,0.0004877553982315157,0.8,0.01,3,150,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150, 'subsample': 1.0}",0.6829268292682927,0.72,0.7659574468085106,0.7450980392156863,0.7777777777777778,0.7383520186140535,0.03397265708365176,17,0.8717948717948718,0.8756756756756757,0.8497409326424871,0.8571428571428571,0.8586387434554974,0.8625986161422778,0.009657603501945616
0.039475297927856444,0.0018616837070967683,0.005113363265991211,0.0003747230200482395,0.8,0.01,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.7,0.7346938775510204,0.782608695652174,0.7307692307692307,0.7777777777777778,0.7451699163500406,0.031056024535377834,4,0.9032258064516129,0.8864864864864865,0.875,0.8601036269430051,0.8924731182795699,0.8834578076321348,0.01482008613066844
0.04177579879760742,0.003703739004544931,0.005510807037353516,0.0007096035151324561,0.8,0.01,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.65,0.72,0.7391304347826086,0.7450980392156863,0.7777777777777778,0.7264012503552145,0.042495356644770894,79,0.8924731182795699,0.8852459016393442,0.8677248677248677,0.875,0.8864864864864865,0.8813860748260536,0.008845852427212248
0.055495405197143556,0.017602142337992486,0.005409717559814453,0.0008040143332483037,0.8,0.01,3,250,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 250, 'subsample': 0.8}",0.7,0.72,0.782608695652174,0.7307692307692307,0.7547169811320755,0.7376189815106959,0.028597032483043197,23,0.9081081081081082,0.8913043478260869,0.8829787234042553,0.8736842105263158,0.8961748633879781,0.8904500506505488,0.011680962491248574
0.04938383102416992,0.0027387320300479674,0.006112337112426758,0.0013228278643743119,0.8,0.01,3,250,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 250, 'subsample': 1.0}",0.65,0.72,0.7111111111111111,0.7450980392156863,0.7777777777777778,0.7207973856209151,0.04229424642654648,122,0.8972972972972973,0.8972972972972973,0.8795811518324608,0.875,0.9010989010989011,0.8900549295051914,0.01061342557498763
0.03185882568359375,0.002136566062307712,0.005716466903686523,0.0003997566413173557,0.8,0.01,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.6829268292682927,0.7037037037037037,0.7916666666666666,0.7307692307692307,0.7777777777777778,0.7373688416371343,0.04176593111474965,24,0.8900523560209425,0.900523560209424,0.8877551020408163,0.8442211055276382,0.8854166666666666,0.8815937580930976,0.019386475884238044
0.033754920959472655,0.0022526671190792706,0.0055122852325439455,0.0005469446380389573,0.8,0.01,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.6666666666666666,0.7307692307692307,0.7083333333333334,0.7307692307692307,0.7777777777777778,0.7228632478632478,0.03608265201335333,113,0.9090909090909091,0.9247311827956989,0.9206349206349206,0.8673469387755102,0.9289617486338798,0.9101531399861837,0.02240379438197925
0.053086137771606444,0.016081959335855555,0.005507755279541016,0.00045054784461790316,0.8,0.01,5,150,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.8}",0.7,0.7058823529411765,0.7659574468085106,0.7450980392156863,0.7777777777777778,0.7389431233486302,0.03125817794446085,15,0.96045197740113,0.9347826086956522,0.9197860962566845,0.8994708994708994,0.9289617486338798,0.9286906660916492,0.019894985658953195
0.04717984199523926,0.00246489724608329,0.00652461051940918,0.00063424351143027,0.8,0.01,5,150,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150, 'subsample': 1.0}",0.6666666666666666,0.72,0.723404255319149,0.7450980392156863,0.7777777777777778,0.7265893477958559,0.03635139352008131,76,0.96045197740113,0.9502762430939227,0.9508196721311475,0.9247311827956989,0.96045197740113,0.9493462105646058,0.013081374206192575
0.06584620475769043,0.017390256736713683,0.005409955978393555,0.00037361686946824903,0.8,0.01,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.7,0.72,0.7391304347826086,0.76,0.7777777777777778,0.7393816425120772,0.027662266022797602,14,0.9714285714285714,0.9608938547486033,0.9666666666666667,0.9444444444444444,0.9714285714285714,0.9629724217433715,0.010042577000865886
0.0617335319519043,0.0027532835562117425,0.005610418319702148,0.000494056739272833,0.8,0.01,5,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.65,0.72,0.7391304347826086,0.7450980392156863,0.7547169811320755,0.721789091026074,0.03764345800499939,116,0.9826589595375722,0.9613259668508287,0.9666666666666667,0.9717514124293786,0.9714285714285714,0.9707663153826035,0.007053669743532967
0.06915745735168458,0.0032022224236179365,0.005307292938232422,0.0005117665235729584,0.8,0.01,5,250,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.8}",0.7,0.7346938775510204,0.7111111111111111,0.76,0.7547169811320755,0.7321043939588414,0.023527045698659668,51,0.9714285714285714,0.9608938547486033,0.9775280898876404,0.9659090909090909,0.9714285714285714,0.9694376356804956,0.005636132014064475
0.07766337394714355,0.0032932364856305594,0.005307674407958984,0.00024601290142357786,0.8,0.01,5,250,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 250, 'subsample': 1.0}",0.6666666666666666,0.72,0.7111111111111111,0.72,0.7307692307692307,0.7097094017094017,0.02240513805175983,208,0.9826589595375722,0.9720670391061452,0.9942857142857143,0.9828571428571429,0.9826589595375722,0.9829055630648293,0.00703001300893538
0.034576034545898436,0.000318630374549578,0.005009746551513672,0.00044823074846466306,0.8,0.01,7,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.6829268292682927,0.7037037037037037,0.7659574468085106,0.7307692307692307,0.7777777777777778,0.7322269976655031,0.03594113730803244,48,0.9090909090909091,0.91005291005291,0.8877551020408163,0.8571428571428571,0.9042553191489362,0.8936594194952857,0.01993725549776066
0.03857522010803223,0.0017904101093296923,0.005608940124511718,0.0004928459691341918,0.8,0.01,7,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.6666666666666666,0.72,0.75,0.7307692307692307,0.7407407407407407,0.7216353276353276,0.02924800034158125,118,0.9392265193370166,0.9354838709677419,0.9456521739130435,0.91005291005291,0.9444444444444444,0.9349719837430314,0.012985509686049645
0.049303722381591794,0.0015990017648370059,0.005512237548828125,0.0003160663226854991,0.8,0.01,7,150,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 150, 'subsample': 0.8}",0.7,0.7058823529411765,0.7659574468085106,0.76,0.7777777777777778,0.741923515505493,0.03239278876532525,10,0.9659090909090909,0.945054945054945,0.9508196721311475,0.9289617486338798,0.9444444444444444,0.9470379802347015,0.011898142855006752
0.06134438514709473,0.005483557292242317,0.007919549942016602,0.004569372060231326,0.8,0.01,7,150,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 150, 'subsample': 1.0}",0.6666666666666666,0.72,0.7391304347826086,0.7450980392156863,0.7547169811320755,0.7251224243594073,0.03135092398709759,94,0.9770114942528736,0.9613259668508287,0.9666666666666667,0.9772727272727273,0.9714285714285714,0.9707410852943335,0.006126962625718024
0.06244149208068848,0.0014013544673931158,0.005217456817626953,0.00040298355997755975,0.8,0.01,7,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.7,0.72,0.7111111111111111,0.76,0.7777777777777778,0.7337777777777778,0.029893638614755993,40,0.9770114942528736,0.9608938547486033,0.9666666666666667,0.9714285714285714,0.9714285714285714,0.9694858317050572,0.00540284798202141
0.07808771133422851,0.008831802431452387,0.005511045455932617,0.000322174912138409,0.8,0.01,7,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.6666666666666666,0.72,0.7391304347826086,0.7450980392156863,0.7547169811320755,0.7251224243594073,0.03135092398709759,94,0.9826589595375722,0.9775280898876404,0.9830508474576272,0.9885057471264368,0.9883720930232558,0.9840231474065064,0.004098760206020339
0.11240177154541016,0.03204962227730919,0.007516670227050781,0.0021698099158667795,0.8,0.01,7,250,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 250, 'subsample': 0.8}",0.7,0.72,0.7111111111111111,0.76,0.7547169811320755,0.7291656184486373,0.02393423621874698,63,0.9770114942528736,0.9608938547486033,0.9886363636363636,0.9826589595375722,0.9770114942528736,0.9772424332856573,0.009236266467901176
0.10502834320068359,0.02545845541610704,0.005417013168334961,0.0004929536591413895,0.8,0.01,7,250,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 250, 'subsample': 1.0}",0.631578947368421,0.72,0.7391304347826086,0.72,0.7307692307692307,0.708295722584052,0.03902635485325706,215,0.9883720930232558,0.9830508474576272,0.9942857142857143,0.9942196531791907,0.9942196531791907,0.9908295922249957,0.00450506334533304
0.04098629951477051,0.004604352214344794,0.0060120105743408205,0.0008983829013772194,0.8,0.01,10,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.8}",0.6829268292682927,0.7037037037037037,0.7659574468085106,0.7307692307692307,0.7777777777777778,0.7322269976655031,0.03594113730803244,48,0.9139784946236559,0.9148936170212766,0.8969072164948454,0.8571428571428571,0.9042553191489362,0.8974355008863142,0.021207275195772674
0.043097496032714844,0.005543112554597134,0.005911064147949219,0.0008032681835554898,0.8,0.01,10,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 1.0}",0.6666666666666666,0.7450980392156863,0.75,0.7307692307692307,0.7547169811320755,0.7294501835567319,0.03240083727598034,60,0.9444444444444444,0.9354838709677419,0.9456521739130435,0.9148936170212766,0.9497206703910615,0.9380389553475135,0.012471479433329552
0.05500984191894531,0.0029870736294203854,0.0062182903289794925,0.0006777366829476065,0.8,0.01,10,150,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 150, 'subsample': 0.8}",0.7,0.72,0.7659574468085106,0.76,0.7777777777777778,0.7447470449172575,0.029625250585983292,5,0.9659090909090909,0.945054945054945,0.9508196721311475,0.9392265193370166,0.9444444444444444,0.9490909343753289,0.009176324819258093
0.05918116569519043,0.003914205258613641,0.005313730239868164,0.000678852793656304,0.8,0.01,10,150,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 150, 'subsample': 1.0}",0.65,0.72,0.7391304347826086,0.7450980392156863,0.7547169811320755,0.721789091026074,0.03764345800499939,116,0.9826589595375722,0.9613259668508287,0.9666666666666667,0.9772727272727273,0.9770114942528736,0.9729871629161337,0.007797911527605998
0.07481260299682617,0.007503654815717272,0.00681304931640625,0.0011244165881944188,0.8,0.01,10,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.8}",0.7,0.72,0.7111111111111111,0.76,0.7777777777777778,0.7337777777777778,0.029893638614755993,40,0.9770114942528736,0.9608938547486033,0.9666666666666667,0.9714285714285714,0.9714285714285714,0.9694858317050572,0.00540284798202141
0.09314370155334473,0.02427169851199721,0.011327981948852539,0.006685210962790322,0.8,0.01,10,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200, 'subsample': 1.0}",0.6153846153846154,0.72,0.7391304347826086,0.7450980392156863,0.7547169811320755,0.7148660141029971,0.05101714129317789,164,0.9883720930232558,0.9775280898876404,0.9886363636363636,0.9885057471264368,0.9883720930232558,0.9862828773393904,0.004378492788915889
0.08964743614196777,0.0020825922992665407,0.00646052360534668,0.0008379619704633762,0.8,0.01,10,250,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 250, 'subsample': 0.8}",0.7,0.72,0.7111111111111111,0.76,0.7777777777777778,0.7337777777777778,0.029893638614755993,40,0.9770114942528736,0.9662921348314607,0.9886363636363636,0.9826589595375722,0.9770114942528736,0.9783220893022287,0.007393886959016109
0.09605803489685058,0.005784770496583441,0.005511045455932617,0.0005473805006400611,0.8,0.01,10,250,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 250, 'subsample': 1.0}",0.6153846153846154,0.72,0.7391304347826086,0.7450980392156863,0.7547169811320755,0.7148660141029971,0.05101714129317789,164,0.9883720930232558,0.9886363636363636,0.9942857142857143,0.9942196531791907,0.9942196531791907,0.9919466954607431,0.0028121081777506504
0.03051748275756836,0.008385085375151362,0.007714223861694336,0.0020478071377572345,0.8,0.05,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.717948717948718,0.6938775510204082,0.7555555555555555,0.76,0.7547169811320755,0.7364197611313514,0.026107522404399768,26,0.9550561797752809,0.9438202247191011,0.9497206703910615,0.9550561797752809,0.9655172413793104,0.953834099208007,0.007164925006339468
