date,character_class,world_name,dojang_best_floor,date_dojang_record,dojang_best_time,nickname
,아델,스카니아,99,2025-04-21T00:00+09:00,896,아델
,듀얼블레이더,스카니아,99,2025-06-11T00:00+09:00,897,치어
,데몬어벤져,스카니아,85,2023-02-26T00:00+09:00,884,흡혈
,소울마스터,엘리시움,92,2024-03-10T00:00+09:00,900,애인
,아델,스카니아,99,2025-07-18T00:00+09:00,806,패릿
,캐논마스터,루나,100,2025-04-21T00:00+09:00,898,진격캐넌
,듀얼블레이더,엘리시움,95,2025-06-08T00:00+09:00,882,담배피운듀얼
,"아크메이지(불,독)",루나,97,2025-06-29T00:00+09:00,857,에브
,"아크메이지(불,독)",엘리시움,0,,0,민아
,팔라딘,크로아,75,2022-08-25T00:00+09:00,865,토르
,아크,크로아,90,2023-09-05T00:00+09:00,891,아크
,은월,엘리시움,92,2024-08-08T00:00+09:00,873,토니
,듀얼블레이더,크로아,89,2025-05-09T00:00+09:00,890,괴수
,듀얼블레이더,베라,86,2024-01-08T00:00+09:00,877,이스
,아란,엘리시움,65,2022-07-31T00:00+09:00,860,뚱달콤
,아크,루나,90,2024-03-07T00:00+09:00,897,귀욤
,키네시스,베라,80,2024-03-19T00:00+09:00,884,꼬냑
,데몬어벤져,루나,0,,0,쭈쭈
,아크,오로라,97,2025-03-25T00:00+09:00,823,진지조하
,카데나,루나,97,2025-01-31T00:00+09:00,871,식중땐
,캐논마스터,스카니아,0,,0,박격포
,아델,스카니아,96,2025-05-04T00:00+09:00,859,박준형
,에반,엘리시움,91,2025-04-12T00:00+09:00,883,렌조
,나이트워커,스카니아,0,,0,라핀
,캡틴,크로아,96,2025-04-26T00:00+09:00,885,김우빈
,나이트워커,엘리시움,0,,0,쩐다
,듀얼블레이더,루나,94,2025-05-06T00:00+09:00,873,윤상
,듀얼블레이더,엘리시움,59,2023-07-27T00:00+09:00,654,퍼킹빚취
,신궁,크로아,96,2025-04-19T00:00+09:00,825,도스석궁
,아란,유니온,96,2025-04-20T00:00+09:00,836,안녕별잇
,소울마스터,엘리시움,96,2025-07-13T00:00+09:00,879,함다연
,호영,베라,89,2024-12-15T00:00+09:00,872,매수
,듀얼블레이더,루나,91,2024-03-20T00:00+09:00,873,버러지
,히어로,오로라,91,2024-05-03T00:00+09:00,890,해류
,듀얼블레이더,베라,90,2024-03-11T00:00+09:00,895,듀오
,블래스터,크로아,90,2025-03-12T00:00+09:00,632,끼토
,바이퍼,베라,0,,0,하람
,메카닉,스카니아,95,2025-01-01T00:00+09:00,892,꼬잡잉
,윈드브레이커,스카니아,93,2024-03-09T00:00+09:00,878,윈드
,에반,스카니아,97,2025-04-22T00:00+09:00,895,개사기
,제논,베라,96,2025-04-07T00:00+09:00,867,아침보름
,메르세데스,베라,84,2023-09-16T00:00+09:00,874,꿈달
,듀얼블레이더,베라,88,2025-07-02T00:00+09:00,897,툭촉
,팬텀,베라,99,2025-06-15T00:00+09:00,885,회장
,히어로,베라,92,2024-07-25T00:00+09:00,879,강동원
,아란,크로아,92,2025-06-15T00:00+09:00,862,로멘아란
,팬텀,엘리시움,97,2025-05-30T00:00+09:00,866,비올팬
,팔라딘,루나,83,2024-03-18T00:00+09:00,875,스고용
,배틀메이지,제니스,96,2025-04-27T00:00+09:00,835,리스크
,칼리,오로라,95,2025-04-23T00:00+09:00,866,밴티
,배틀메이지,엘리시움,96,2025-04-21T00:00+09:00,882,노잼
,"아크메이지(썬,콜)",스카니아,89,2024-09-18T00:00+09:00,876,바글
,비숍,루나,93,2025-03-23T00:00+09:00,877,다소나
,칼리,루나,79,2024-05-08T00:00+09:00,855,메주
,캐논마스터,베라,93,2025-05-16T00:00+09:00,871,현건
,제논,스카니아,89,2025-03-01T00:00+09:00,867,도둑별
,데몬어벤져,유니온,93,2024-03-09T00:00+09:00,900,롱잽
,스트라이커,크로아,93,2025-03-23T00:00+09:00,876,스꺼
,메르세데스,엘리시움,70,2023-12-31T00:00+09:00,873,예롬
,나이트워커,루나,89,2025-02-18T00:00+09:00,889,넘버원충남대
,캡틴,루나,87,2024-01-06T00:00+09:00,882,군함
,메르세데스,크로아,67,2024-05-26T00:00+09:00,885,귤민
,다크나이트,베라,97,2025-05-13T00:00+09:00,862,창세
,나이트로드,엘리시움,93,2025-06-15T00:00+09:00,898,랭주
,팔라딘,제니스,67,,886,뼈묠
,아크,루나,89,2024-05-26T00:00+09:00,896,솔애
,아델,루나,83,2024-03-20T00:00+09:00,888,먼지배코
,다크나이트,크로아,76,2023-03-01T00:00+09:00,885,지닐
,바이퍼,스카니아,93,2025-04-20T00:00+09:00,864,몇시
,엔젤릭버스터,베라,95,2025-06-15T00:00+09:00,897,소곤
,비숍,스카니아,91,2025-06-01T00:00+09:00,882,잔디
,패스파인더,크로아,94,2025-06-15T00:00+09:00,888,소질
,섀도어,유니온,86,2024-12-01T00:00+09:00,890,섀둬씨
,히어로,엘리시움,65,2023-06-11T00:00+09:00,868,카타리나
,다크나이트,스카니아,84,2024-04-13T00:00+09:00,881,검정
,나이트로드,스카니아,94,2025-04-20T00:00+09:00,869,으꾸
,팬텀,엘리시움,97,2025-06-18T00:00+09:00,855,블랙잭
,윈드브레이커,스카니아,98,2025-04-23T00:00+09:00,886,퍼니
,제논,베라,0,,0,뷰논
,아델,오로라,94,2025-01-13T00:00+09:00,885,더비
,나이트로드,크로아,95,2025-06-17T00:00+09:00,857,조교
,제논,루나,93,2025-05-11T00:00+09:00,879,유투브
,듀얼블레이더,노바,96,2025-06-18T00:00+09:00,900,염마
,데몬어벤져,스카니아,94,2025-01-19T00:00+09:00,872,노어
,나이트워커,베라,55,2024-02-12T00:00+09:00,858,르끼
,듀얼블레이더,스카니아,84,2023-12-30T00:00+09:00,856,니죄
,듀얼블레이더,루나,91,2025-02-02T00:00+09:00,869,라쓰
,캡틴,엘리시움,92,2025-02-26T00:00+09:00,897,기이얀
,나이트로드,베라,76,2023-01-29T00:00+09:00,881,Asnah
,데몬어벤져,루나,91,2024-03-20T00:00+09:00,891,슬라
,메르세데스,엘리시움,66,2023-07-29T00:00+09:00,594,클빙
,나이트로드,엘리시움,91,2025-06-17T00:00+09:00,886,독서
,에반,오로라,93,2025-04-21T00:00+09:00,854,쿨러
,에반,오로라,91,2025-05-14T00:00+09:00,900,냔우
,카이저,레드,96,2025-07-09T00:00+09:00,844,다피
,데몬어벤져,엘리시움,89,2024-09-06T00:00+09:00,862,리기
,듀얼블레이더,스카니아,80,2023-08-13T00:00+09:00,867,양파농부
,듀얼블레이더,베라,91,2025-01-26T00:00+09:00,892,두개
,다크나이트,엘리시움,75,2023-10-03T00:00+09:00,876,유부남
,나이트로드,엘리시움,92,2025-04-20T00:00+09:00,883,파이
,나이트로드,베라,89,2025-06-01T00:00+09:00,868,심월호
,데몬어벤져,크로아,64,2024-01-10T00:00+09:00,867,악마듀
,카인,루나,69,2024-04-30T00:00+09:00,837,살듯
,"아크메이지(불,독)",크로아,91,2025-01-25T00:00+09:00,887,실사
,데몬어벤져,오로라,86,2024-09-22T00:00+09:00,877,악덕
,카인,베라,94,2025-06-02T00:00+09:00,883,헹장군
,팔라딘,크로아,84,2024-05-15T00:00+09:00,885,흑돼랑
,히어로,스카니아,89,2024-02-05T00:00+09:00,875,센터
,아델,크로아,91,2024-07-26T00:00+09:00,892,채영
,팔라딘,엘리시움,95,2025-06-12T00:00+09:00,877,종빈
,캐논마스터,베라,93,2024-08-08T00:00+09:00,894,캐논마서터
,"아크메이지(불,독)",크로아,73,2023-12-31T00:00+09:00,899,화령
,듀얼블레이더,크로아,81,2023-09-13T00:00+09:00,892,패망
,"아크메이지(불,독)",루나,65,2024-03-30T00:00+09:00,895,렙빨
,듀얼블레이더,스카니아,80,2025-02-02T00:00+09:00,896,수정산달팽이
,듀얼블레이더,엘리시움,80,2023-07-27T00:00+09:00,890,동동
,팬텀,루나,90,2024-06-16T00:00+09:00,870,대갈텀
,팔라딘,베라,74,2023-01-24T00:00+09:00,892,애정딘
,"아크메이지(불,독)",엘리시움,91,2024-08-05T00:00+09:00,873,승수
,듀얼블레이더,오로라,85,2024-07-27T00:00+09:00,861,마기나
,듀얼블레이더,루나,87,2024-09-29T00:00+09:00,876,Riza
,호영,스카니아,70,,882,명훈
,소울마스터,베라,94,2025-04-23T00:00+09:00,878,버릇
,나이트로드,크로아,88,2025-03-16T00:00+09:00,879,쿄코
,듀얼블레이더,스카니아,90,2025-01-26T00:00+09:00,895,임무
,듀얼블레이더,루나,80,2023-10-04T00:00+09:00,882,17학번
,카인,스카니아,90,2025-07-12T00:00+09:00,886,화티
,듀얼블레이더,엘리시움,66,2023-10-03T00:00+09:00,895,음혈
,듀얼블레이더,엘리시움,94,2025-06-12T00:00+09:00,860,원분
,제논,엘리시움,94,2025-01-24T00:00+09:00,870,탑쑨
,히어로,스카니아,81,2024-09-06T00:00+09:00,869,패우희
,"아크메이지(썬,콜)",루나,94,2025-07-09T00:00+09:00,878,썬붕스
,나이트로드,스카니아,90,2025-03-30T00:00+09:00,897,유격
,나이트로드,크로아,69,2024-03-25T00:00+09:00,877,아키마
,소울마스터,엘리시움,82,2024-02-12T00:00+09:00,890,에스
,히어로,크로아,77,2025-03-16T00:00+09:00,894,술김
,아델,유니온,91,2025-02-26T00:00+09:00,888,공야
,비숍,엘리시움,91,2024-12-30T00:00+09:00,887,이뽀
,듀얼블레이더,크로아,84,2024-09-29T00:00+09:00,851,부산
,윈드브레이커,엘리시움,0,,0,묘롱
,호영,크로아,80,2024-02-25T00:00+09:00,862,흐스
,팔라딘,루나,84,2024-11-03T00:00+09:00,877,발림
,카이저,스카니아,90,2025-02-23T00:00+09:00,883,룡혼
,제논,루나,81,2024-12-16T00:00+09:00,704,접어
,바이퍼,스카니아,94,2025-06-13T00:00+09:00,866,서펜
,팬텀,크로아,79,2023-07-23T00:00+09:00,857,단돈
,데몬어벤져,베라,79,2024-09-30T00:00+09:00,867,해벽잉
,나이트로드,루나,80,2024-06-15T00:00+09:00,868,킬래
,제논,베라,92,2025-05-05T00:00+09:00,884,남준
,제논,스카니아,90,2025-01-06T00:00+09:00,871,머얼크
,메카닉,루나,90,2024-10-30T00:00+09:00,818,별표시
,듀얼블레이더,엘리시움,87,2024-10-13T00:00+09:00,878,안아파
,비숍,크로아,60,2024-04-26T00:00+09:00,500,쿠쿠쿠
,아란,크로아,66,2023-10-04T00:00+09:00,877,첫체험
,제로,루나,97,2025-06-18T00:00+09:00,861,미술부
,나이트워커,스카니아,0,,0,경찰
,메르세데스,엘리시움,88,2025-03-29T00:00+09:00,884,미녀아처
,다크나이트,베라,90,2024-06-12T00:00+09:00,897,휴덕
,데몬슬레이어,루나,93,2024-12-29T00:00+09:00,900,카벨
,듀얼블레이더,엘리시움,76,2023-02-19T00:00+09:00,892,패권
,캐논마스터,크로아,89,2024-04-27T00:00+09:00,861,더협
,듀얼블레이더,엘리시움,79,2023-06-09T00:00+09:00,885,Mushroom
,제논,유니온,61,2023-01-23T00:00+09:00,853,월일제논
,팔라딘,스카니아,59,2022-05-03T00:00+09:00,892,깡이
,팬텀,크로아,88,2024-06-12T00:00+09:00,889,빈핑
,아크,베라,89,2025-05-20T00:00+09:00,882,고려
,윈드브레이커,스카니아,91,2024-12-31T00:00+09:00,887,진동
,비숍,스카니아,80,2024-09-15T00:00+09:00,880,TAYO
,윈드브레이커,루나,93,2024-03-17T00:00+09:00,900,목성
,호영,크로아,85,2024-11-03T00:00+09:00,889,해저
,나이트로드,스카니아,85,2025-01-30T00:00+09:00,900,우냐
,"아크메이지(불,독)",엘리시움,84,2023-10-03T00:00+09:00,889,로밍
,데몬슬레이어,엘리시움,90,2024-07-24T00:00+09:00,890,소호
,나이트로드,엘리시움,92,2025-02-11T00:00+09:00,900,껴방
,듀얼블레이더,루나,79,2023-10-04T00:00+09:00,892,유산슬
,팬텀,스카니아,72,2022-11-06T00:00+09:00,873,진조커
,호영,크로아,83,2024-05-12T00:00+09:00,881,봉봉
,나이트로드,루나,88,2024-02-14T00:00+09:00,895,매끈
,아델,스카니아,0,,0,주지털
,"아크메이지(불,독)",루나,92,2025-01-20T00:00+09:00,872,리케아
,"아크메이지(불,독)",크로아,96,2025-06-18T00:00+09:00,852,독팔
,바이퍼,루나,72,2024-03-19T00:00+09:00,873,알퐈메일
,나이트로드,베라,65,2023-10-14T00:00+09:00,870,꿀타래
,아델,스카니아,78,2024-02-18T00:00+09:00,878,태극
,제논,베라,0,,0,권다빈
,나이트로드,엘리시움,86,2024-03-10T00:00+09:00,896,벗니
,메르세데스,베라,0,,0,안자
,메르세데스,엘리시움,77,2023-08-09T00:00+09:00,879,리프
,나이트로드,엘리시움,77,2023-07-25T00:00+09:00,895,seul
,아란,크로아,86,2023-10-04T00:00+09:00,880,종식
,카인,엘리시움,94,2025-06-15T00:00+09:00,853,벨님
,듀얼블레이더,크로아,80,2023-09-11T00:00+09:00,882,왕구
,듀얼블레이더,스카니아,75,2023-05-16T00:00+09:00,894,호브
,비숍,베라,91,2025-07-09T00:00+09:00,895,유식대장
,보우마스터,루나,83,2024-06-23T00:00+09:00,879,모봄아
,칼리,엘리시움,96,2025-06-08T00:00+09:00,894,사류
,나이트로드,루나,81,2023-09-24T00:00+09:00,878,땡식
,에반,스카니아,70,2023-12-12T00:00+09:00,872,스폘
,라라,오로라,95,2025-02-02T00:00+09:00,881,쿠디
,듀얼블레이더,크로아,75,2023-09-10T00:00+09:00,892,간큼
,듀얼블레이더,엘리시움,83,2024-07-09T00:00+09:00,867,노지오
,듀얼블레이더,루나,89,2025-06-29T00:00+09:00,879,파장
,배틀메이지,스카니아,71,2024-03-26T00:00+09:00,869,진실
,제로,베라,77,2024-01-20T00:00+09:00,885,이규밍
,나이트워커,베라,90,2025-04-26T00:00+09:00,880,뇌둔
,아란,크로아,94,2025-02-04T00:00+09:00,894,장복공
,비숍,크로아,0,,0,콘비
,히어로,크로아,90,2025-04-13T00:00+09:00,874,파오
,엔젤릭버스터,엘리시움,94,2025-06-11T00:00+09:00,887,멍청이
,"아크메이지(썬,콜)",오로라,87,2024-03-19T00:00+09:00,898,러네요
,데몬어벤져,엘리시움,84,2023-09-17T00:00+09:00,876,장제스
,비숍,베라,84,2024-05-13T00:00+09:00,869,이안
,듀얼블레이더,스카니아,95,2025-07-18T00:00+09:00,885,동윤
,"아크메이지(썬,콜)",스카니아,90,2025-05-05T00:00+09:00,893,넛넛
,아크,크로아,90,2024-06-04T00:00+09:00,883,빈털
,제논,크로아,95,2025-05-14T00:00+09:00,892,Tony
,소울마스터,엘리시움,56,2024-02-04T00:00+09:00,857,병사
,팬텀,제니스,82,2024-02-25T00:00+09:00,871,딛반
,패스파인더,루나,92,2025-02-09T00:00+09:00,895,보우
,데몬어벤져,엘리시움,88,2024-06-09T00:00+09:00,896,최다롱이
,"아크메이지(불,독)",루나,88,2024-06-19T00:00+09:00,898,엔테이
,아델,크로아,92,2025-04-23T00:00+09:00,887,명탐
,팔라딘,루나,76,2024-02-13T00:00+09:00,859,리가융
,듀얼블레이더,크로아,77,2023-09-23T00:00+09:00,864,파황
,메르세데스,스카니아,58,,884,사켜
,아델,루나,92,2025-06-08T00:00+09:00,873,이민채
,데몬슬레이어,스카니아,88,2024-03-13T00:00+09:00,890,민트쵸코
,보우마스터,루나,95,2025-01-06T00:00+09:00,869,뜬궁
,아델,스카니아,91,2025-04-22T00:00+09:00,900,기위
,제로,베라,99,2025-04-07T00:00+09:00,857,으찌
,호영,루나,91,2025-01-18T00:00+09:00,895,물쥐
,다크나이트,크로아,97,2025-06-15T00:00+09:00,877,뽀민
,아델,엘리시움,96,2025-06-09T00:00+09:00,893,꾸넛
,비숍,유니온,90,2024-08-02T00:00+09:00,896,통장잔고
,나이트로드,크로아,91,2024-03-15T00:00+09:00,898,쑈다
,듀얼블레이더,크로아,71,2022-11-02T00:00+09:00,883,코쓰
,나이트로드,크로아,84,2024-07-21T00:00+09:00,897,캬롱
,듀얼블레이더,크로아,80,2023-10-02T00:00+09:00,872,태윤
,비숍,스카니아,72,2023-09-09T00:00+09:00,866,열쇠
,나이트로드,스카니아,61,2023-02-13T00:00+09:00,894,손나은
,캡틴,레드,83,2023-09-03T00:00+09:00,890,천미수
,히어로,루나,94,2025-06-08T00:00+09:00,900,Face1ess
,팔라딘,베라,70,2023-06-13T00:00+09:00,883,주환석
,듀얼블레이더,엘리시움,84,2022-09-02T00:00+09:00,875,배고픈제리33
,팔라딘,이노시스,90,2024-12-30T00:00+09:00,867,채만
,"아크메이지(불,독)",스카니아,91,2024-03-12T00:00+09:00,898,지나
,신궁,베라,94,2025-06-18T00:00+09:00,888,정수영
,나이트로드,엘리시움,63,2022-07-31T00:00+09:00,797,캐요
,윈드브레이커,엘리시움,64,2023-01-25T00:00+09:00,868,다비니
,비숍,스카니아,90,2024-03-11T00:00+09:00,883,루찌
,듀얼블레이더,엘리시움,72,,873,포즈
,메카닉,루나,79,2023-12-31T00:00+09:00,896,마지
,아델,스카니아,93,2025-06-08T00:00+09:00,885,스윙클
,제논,스카니아,93,2025-07-05T00:00+09:00,862,쿨삭
,호영,엘리시움,65,2023-06-13T00:00+09:00,859,우수
,은월,베라,93,2025-01-26T00:00+09:00,860,코겜
,비숍,엘리시움,87,2025-01-12T00:00+09:00,885,문봄
,데몬어벤져,스카니아,67,2025-01-05T00:00+09:00,437,취한펭귄
,팔라딘,베라,60,2022-06-09T00:00+09:00,882,승효
